exact_age,death_odds_male,life_expect_male,death_odds_female,life_expect_female
0,0.006383,76.15,0.005374,80.97
1,0.000453,75.63,0.000353,80.41
2,0.000282,74.67,0.000231,79.44
3,0.000230,73.69,0.000165,78.45
4,0.000169,72.71,0.000129,77.47
5,0.000155,71.72,0.000116,76.48
6,0.000145,70.73,0.000107,75.48
7,0.000135,69.74,0.000101,74.49
8,0.000120,68.75,9.6E-05,73.5
9,0.000105,67.76,9.2E-05,72.51
10,0.000094,66.76,9.1E-05,71.51
11,0.000099,65.77,9.6E-05,70.52
12,0.000134,64.78,0.000111,69.53
13,0.000207,63.79,0.000138,68.53
14,0.000309,62.8,0.000174,67.54
15,0.000419,61.82,0.000214,66.56
16,0.000530,60.84,0.000254,65.57
17,0.000655,59.88,0.000294,64.59
18,0.000791,58.91,0.00033,63.61
19,0.000934,57.96,0.000364,62.63
20,0.001085,57.01,0.000399,61.65
21,0.001228,56.08,0.000436,60.67
22,0.001339,55.14,0.000469,59.7
23,0.001403,54.22,0.000497,58.73
24,0.001433,53.29,0.000522,57.76
25,0.001451,52.37,0.000546,56.79
26,0.001475,51.44,0.000572,55.82
27,0.001502,50.52,0.000604,54.85
28,0.001538,49.59,0.000644,53.88
29,0.001581,48.67,0.00069,52.92
30,0.001626,47.75,0.00074,51.95
31,0.001669,46.82,0.000792,50.99
32,0.001712,45.9,0.000841,50.03
33,0.001755,44.98,0.000886,49.07
34,0.001800,44.06,0.000929,48.11
35,0.001855,43.14,0.000977,47.16
36,0.001920,42.22,0.001034,46.2
37,0.001988,41.3,0.001098,45.25
38,0.002060,40.38,0.001171,44.3
39,0.002141,39.46,0.001253,43.35
40,0.002240,38.54,0.001347,42.41
41,0.002362,37.63,0.001452,41.46
42,0.002509,36.72,0.001571,40.52
43,0.002684,35.81,0.001706,39.59
44,0.002890,34.9,0.001857,38.65
45,0.003121,34,0.002022,37.72
46,0.003386,33.11,0.002204,36.8
47,0.003707,32.22,0.002411,35.88
48,0.004091,31.34,0.002648,34.96
49,0.004531,30.46,0.00291,34.06
50,0.005013,29.6,0.003193,33.15
51,0.005524,28.75,0.003491,32.26
52,0.006059,27.9,0.003801,31.37
53,0.006611,27.07,0.004119,30.49
54,0.007187,26.25,0.004449,29.61
55,0.007800,25.43,0.004813,28.74
56,0.008456,24.63,0.005201,27.88
57,0.009144,23.83,0.005583,27.02
58,0.009865,23.05,0.005952,26.17
59,0.010622,22.27,0.006325,25.32
60,0.011458,21.51,0.006749,24.48
61,0.012350,20.75,0.007238,23.64
62,0.013235,20,0.007776,22.81
63,0.014097,19.27,0.008368,21.99
64,0.014979,18.53,0.009032,21.17
65,0.015967,17.81,0.009794,20.36
66,0.017109,17.09,0.010673,19.55
67,0.018392,16.38,0.011676,18.76
68,0.019836,15.68,0.012815,17.98
69,0.021465,14.98,0.014105,17.2
70,0.023351,14.3,0.015616,16.44
71,0.025482,13.63,0.017318,15.69
72,0.027794,12.97,0.019118,14.96
73,0.030282,12.33,0.020996,14.24
74,0.033022,11.7,0.023033,13.54
75,0.036201,11.08,0.025413,12.85
76,0.039858,10.48,0.028197,12.17
77,0.043891,9.89,0.031313,11.51
78,0.048311,9.33,0.034782,10.86
79,0.053228,8.77,0.038689,10.24
80,0.058897,8.24,0.043258,9.63
81,0.065365,7.72,0.04849,9.04
82,0.072491,7.23,0.054223,8.48
83,0.080288,6.75,0.060446,7.93
84,0.088916,6.3,0.067338,7.41
85,0.098576,5.87,0.075133,6.91
86,0.109438,5.45,0.084033,6.43
87,0.121619,5.06,0.094177,5.98
88,0.135176,4.69,0.105633,5.54
89,0.150109,4.35,0.118407,5.14
90,0.166397,4.03,0.132476,4.76
91,0.183997,3.73,0.147801,4.41
92,0.202855,3.46,0.164331,4.09
93,0.222911,3.21,0.182012,3.8
94,0.244094,2.99,0.200783,3.54
95,0.265091,2.8,0.219758,3.3
96,0.285508,2.63,0.23863,3.09
97,0.304926,2.48,0.257065,2.9
98,0.322919,2.34,0.274706,2.73
99,0.339065,2.22,0.291189,2.57
100,0.356018,2.11,0.30866,2.42
101,0.373819,2,0.32718,2.27
102,0.392510,1.89,0.34681,2.14
103,0.412135,1.79,0.367619,2
104,0.432742,1.69,0.389676,1.88
105,0.454379,1.59,0.413057,1.76
106,0.477098,1.5,0.43784,1.64
107,0.500953,1.41,0.464111,1.53
108,0.526000,1.33,0.491957,1.43
109,0.552300,1.25,0.521475,1.33
110,0.579915,1.17,0.552763,1.24
111,0.608911,1.1,0.585929,1.15
112,0.639357,1.03,0.621085,1.06
113,0.671325,0.96,0.65835,0.98
114,0.704891,0.89,0.697851,0.9
115,0.740135,0.83,0.739722,0.83
116,0.777142,0.77,0.777142,0.77
117,0.815999,0.71,0.815999,0.71
118,0.856799,0.66,0.856799,0.66
119,0.899639,0.61,0.899639,0.61
