Date,Price
12/07/18,1249.31
12/06/18,1239.48
12/05/18,1237.78
12/04/18,1238.76
12/03/18,1223
12/02/18,1224.14
11/30/18,1221.96
11/29/18,1223.99
11/28/18,1221.11
11/27/18,1214.69
11/26/18,1222.37
11/25/18,1224.42
11/23/18,1223.19
11/22/18,1227.45
11/21/18,1226.02
11/20/18,1221.55
11/19/18,1224.05
11/18/18,1222.62
11/16/18,1223.36
11/15/18,1221.39
11/14/18,1213.24
11/13/18,1210.76
11/12/18,1202.1
11/11/18,1200.45
11/10/18,1209.71
11/08/18,1209.45
11/07/18,1223.48
11/06/18,1226.54
11/05/18,1226.92
11/04/18,1231.58
11/01/18,1232.94
10/31/18,1233.12
10/30/18,1214.61
10/29/18,1223
10/28/18,1229.33
10/25/18,1233.76
10/24/18,1232.09
10/23/18,1234.03
10/22/18,1230.1
10/21/18,1221.99
10/18/18,1226.59
10/17/18,1225.74
10/16/18,1222.21
10/15/18,1224.72
10/14/18,1226.84
10/11/18,1217.85
10/10/18,1224.19
10/09/18,1194.68
10/08/18,1189.71
10/07/18,1187.93
10/04/18,1202.91
10/03/18,1199.79
10/02/18,1197.29
10/01/18,1202.94
09/30/18,1188.74
09/27/18,1191.63
09/26/18,1182.74
09/25/18,1194.35
09/24/18,1201.13
09/23/18,1198.79
09/20/18,1199.23
09/19/18,1207.08
09/18/18,1203.91
09/17/18,1198.25
09/16/18,1201.33
09/13/18,1193.6
09/12/18,1201.39
09/11/18,1206.13
09/10/18,1198.62
09/09/18,1195.81
09/06/18,1195.95
09/05/18,1200.06
09/04/18,1196.7
09/03/18,1191.4
09/02/18,1200.25
08/30/18,1200.93
08/29/18,1199.81
08/28/18,1206.53
08/27/18,1201.03
08/26/18,1211.25
08/23/18,1206.01
08/22/18,1185.19
08/21/18,1195.44
08/20/18,1196.06
08/19/18,1190.48
08/16/18,1184.33
08/15/18,1174.04
08/14/18,1174.67
08/13/18,1193.93
08/12/18,1193.53
08/09/18,1211.55
08/08/18,1212.3
08/07/18,1213.65
08/06/18,1210.95
08/05/18,1207.34
08/02/18,1213.29
08/01/18,1207.75
07/31/18,1215.94
07/30/18,1223.7
07/29/18,1221.44
07/26/18,1222.97
07/25/18,1222.56
07/24/18,1231.45
07/23/18,1224.4
07/22/18,1224.49
07/19/18,1231.61
07/18/18,1222.72
07/17/18,1227.48
07/16/18,1227.6
07/15/18,1240.89
07/12/18,1241.24
07/11/18,1247.07
07/10/18,1242.07
07/09/18,1255.48
07/08/18,1257.63
07/05/18,1254.67
07/04/18,1257.62
07/03/18,1256.62
07/02/18,1252.69
07/01/18,1241.88
06/28/18,1252.9
06/27/18,1248.17
06/26/18,1252.02
06/25/18,1258.81
06/24/18,1265.45
06/21/18,1269.22
06/20/18,1267.08
06/19/18,1267.94
06/18/18,1274.44
06/17/18,1278.33
06/14/18,1280.23
06/13/18,1302.09
06/12/18,1299.5
06/11/18,1295.78
06/10/18,1300.24
06/07/18,1298.71
06/06/18,1297.09
06/05/18,1296.51
06/04/18,1296.41
06/03/18,1291.86
05/31/18,1293.47
05/30/18,1298.11
05/29/18,1301.31
05/28/18,1298.64
05/27/18,1297.67
05/24/18,1300.8
05/23/18,1304.76
05/22/18,1293.4
05/21/18,1291.33
05/20/18,1292.66
05/17/18,1292.64
05/16/18,1290.85
05/15/18,1290.74
05/14/18,1290.57
05/13/18,1313.36
05/10/18,1318.08
05/09/18,1321.29
05/08/18,1312.7
05/07/18,1314.36
05/06/18,1314.15
05/03/18,1314.72
