
Price for
Year
Date
LBMA Gold Prices
Timestamp:
2019-12-24 10:31:41 +0000
,USD,GBP,EUR
AM,PM,AM,PM,AM,PM
24-Dec-19,1490.85,,1152.580,,1345.940,
23-Dec-19,1483.95,1482.10,1141.900,1145.810,1338.970,1336.850
20-Dec-19,1476.90,1479.00,1132.190,1133.950,1328.470,1334.350
19-Dec-19,1474.40,1476.70,1125.560,1132.330,1324.010,1327.550
18-Dec-19,1478.90,1474.05,1128.990,1127.650,1328.200,1325.910
17-Dec-19,1478.40,1475.80,1120.630,1121.760,1325.240,1323.350
16-Dec-19,1477.40,1477.90,1106.870,1108.130,1325.970,1325.230
13-Dec-19,1470.60,1466.60,1097.510,1099.070,1315.600,1315.100
12-Dec-19,1474.70,1467.80,1117.820,1116.560,1325.020,1319.550
11-Dec-19,1468.05,1466.80,1116.890,1112.710,1324.920,1322.470
10-Dec-19,1464.45,1464.95,1112.250,1112.040,1322.690,1322.260
09-Dec-19,1463.60,1461.70,1112.040,1111.480,1323.090,1320.060
06-Dec-19,1474.85,1459.65,1122.800,1112.400,1328.540,1320.250
05-Dec-19,1474.60,1475.95,1122.760,1122.310,1329.650,1329.540
04-Dec-19,1475.85,1475.10,1131.530,1125.940,1332.540,1327.890
03-Dec-19,1470.40,1477.30,1132.500,1136.780,1328.510,1333.120
02-Dec-19,1457.50,1461.15,1130.000,1130.050,1323.260,1321.170
29-Nov-19,1456.35,1460.15,1129.550,1131.320,1323.240,1327.420
28-Nov-19,1457.55,1454.65,1127.270,1127.350,1323.600,1321.840
27-Nov-19,1459.80,1454.35,1134.120,1129.740,1326.230,1322.300
26-Nov-19,1457.65,1454.65,1133.760,1131.860,1322.960,1321.110
25-Nov-19,1459.45,1458.40,1133.410,1130.840,1325.330,1323.350
22-Nov-19,1471.30,1464.45,1143.050,1140.220,1330.350,1326.060
21-Nov-19,1468.90,1467.05,1134.430,1133.150,1325.090,1324.010
20-Nov-19,1475.70,1471.70,1143.520,1138.950,1333.740,1328.360
19-Nov-19,1464.90,1468.45,1132.370,1134.230,1323.680,1325.860
18-Nov-19,1458.40,1467.65,1124.860,1132.590,1318.100,1325.880
15-Nov-19,1465.60,1466.90,1138.040,1136.410,1329.590,1327.840
14-Nov-19,1467.65,1466.65,1141.390,1142.520,1334.240,1333.180
13-Nov-19,1463.45,1462.90,1138.860,1140.620,1328.230,1328.460
12-Nov-19,1455.00,1452.05,1134.030,1130.420,1319.690,1318.170
11-Nov-19,1465.50,1458.70,1144.410,1132.390,1328.330,1321.870
08-Nov-19,1466.85,1464.15,1144.580,1142.620,1328.090,1328.130
07-Nov-19,1484.10,1484.25,1153.440,1156.820,1339.400,1341.760
06-Nov-19,1488.55,1486.05,1155.260,1154.510,1342.230,1341.310
05-Nov-19,1504.60,1488.95,1166.370,1156.170,1352.180,1344.670
04-Nov-19,1509.20,1509.45,1168.570,1169.520,1352.390,1353.980
01-Nov-19,1509.85,1508.80,1165.760,1164.490,1354.790,1351.280
31-Oct-19,1506.40,1510.95,1163.090,1168.570,1348.530,1356.530
30-Oct-19,1490.15,1492.10,1156.650,1159.810,1340.390,1342.740
29-Oct-19,1492.75,1486.75,1164.790,1155.200,1347.800,1338.370
28-Oct-19,1505.05,1492.40,1172.890,1160.940,1356.950,1345.550
25-Oct-19,1504.65,1513.45,1171.820,1180.790,1353.280,1364.220
24-Oct-19,1488.85,1496.55,1154.750,1163.120,1338.030,1346.450
23-Oct-19,1494.25,1494.45,1162.530,1159.840,1343.780,1343.660
22-Oct-19,1487.45,1485.35,1149.500,1149.660,1335.280,1334.140
21-Oct-19,1490.85,1491.65,1147.810,1148.270,1334.910,1337.120
18-Oct-19,1487.50,1490.00,1154.150,1155.640,1336.670,1337.280
17-Oct-19,1484.45,1492.65,1151.640,1162.630,1336.600,1341.590
16-Oct-19,1482.55,1485.10,1166.320,1155.850,1344.520,1343.270
15-Oct-19,1494.75,1487.80,1183.690,1178.340,1357.080,1353.300
14-Oct-19,1494.20,1490.60,1188.790,1182.940,1354.040,1352.120
11-Oct-19,1498.35,1479.15,1197.930,1166.010,1359.900,1338.330
10-Oct-19,1508.20,1494.80,1232.350,1222.750,1368.690,1356.380
09-Oct-19,1503.40,1507.25,1228.430,1232.930,1369.000,1372.650
08-Oct-19,1500.00,1505.85,1225.500,1233.140,1365.300,1372.280
07-Oct-19,1502.15,1501.25,1221.400,1218.110,1369.360,1365.540
04-Oct-19,1509.50,1499.15,1223.750,1220.010,1374.700,1366.780
03-Oct-19,1504.00,1517.10,1221.700,1223.840,1372.250,1380.260
02-Oct-19,1484.05,1492.60,1213.210,1215.130,1359.840,1364.680
01-Oct-19,1466.10,1473.45,1193.110,1206.170,1345.290,1349.970
30-Sep-19,1487.60,1485.30,1208.380,1206.060,1361.750,1362.170
27-Sep-19,1496.15,1489.90,1218.170,1209.050,1369.580,1362.510
26-Sep-19,1507.05,1506.40,1223.720,1219.280,1378.500,1374.890
25-Sep-19,1530.85,1528.75,1231.110,1234.620,1391.240,1391.770
24-Sep-19,1520.25,1520.65,1220.760,1216.670,1382.360,1381.360
23-Sep-19,1519.50,1522.10,1222.130,1225.900,1385.480,1385.110
20-Sep-19,1504.10,1501.90,1199.070,1203.620,1361.060,1362.520
19-Sep-19,1498.40,1500.70,1200.670,1201.760,1354.850,1357.080
18-Sep-19,1502.20,1503.50,1206.270,1204.900,1360.390,1359.920
17-Sep-19,1499.30,1502.10,1208.890,1207.240,1361.510,1360.450
16-Sep-19,1502.05,1497.20,1207.350,1203.300,1357.250,1359.460
13-Sep-19,1506.30,1503.10,1209.410,1208.190,1356.880,1358.350
12-Sep-19,1502.95,1515.20,1219.940,1227.460,1362.880,1373.530
11-Sep-19,1493.65,1490.65,1208.210,1209.070,1354.740,1355.900
10-Sep-19,1494.60,1498.25,1211.520,1211.340,1353.510,1357.110
09-Sep-19,1509.95,1509.20,1223.810,1220.340,1368.620,1364.920
06-Sep-19,1504.95,1523.70,1223.520,1237.090,1363.940,1378.490
05-Sep-19,1542.60,1529.10,1257.060,1238.720,1397.440,1380.780
04-Sep-19,1538.80,1546.10,1265.050,1269.970,1397.690,1403.860
03-Sep-19,1532.45,1537.85,1278.060,1277.800,1400.350,1403.440
02-Sep-19,1523.35,1525.95,1260.420,1265.010,1388.690,1391.510
30-Aug-19,1526.55,1528.40,1253.140,1251.150,1382.750,1383.510
29-Aug-19,1536.65,1540.20,1260.510,1262.960,1387.290,1392.030
28-Aug-19,1541.75,1537.15,1263.310,1258.770,1389.890,1387.430
27-Aug-19,1531.85,1532.95,1250.910,1247.510,1378.970,1380.880
23-Aug-19,1495.50,1503.80,1224.370,1228.910,1351.480,1357.630
22-Aug-19,1498.70,1502.05,1234.630,1225.970,1351.980,1354.100
21-Aug-19,1499.65,1503.25,1235.410,1238.530,1351.480,1354.430
20-Aug-19,1502.65,1504.55,1242.690,1239.600,1356.440,1357.860
19-Aug-19,1499.35,1496.60,1236.660,1235.290,1350.760,1348.890
16-Aug-19,1509.05,1515.25,1242.550,1246.140,1361.460,1367.820
15-Aug-19,1517.65,1515.65,1254.490,1250.260,1361.480,1363.780
14-Aug-19,1500.35,1513.25,1241.690,1253.730,1341.610,1356.170
13-Aug-19,1527.20,1498.40,1265.900,1240.380,1363.480,1338.670
12-Aug-19,1501.95,1504.70,1244.820,1243.630,1343.640,1341.740
09-Aug-19,1503.50,1497.70,1242.190,1240.990,1342.020,1338.050
08-Aug-19,1497.40,1495.75,1230.260,1234.140,1335.080,1335.700
07-Aug-19,1487.65,1506.05,1225.820,1239.330,1330.110,1341.440
06-Aug-19,1461.85,1465.25,1199.590,1201.210,1304.850,1311.110
