Date,Price
2018-12-27,1275,71
2018-12-26,1267.70
2018-12-24,1268.54
2018-12-23,1269.22
2018-12-21,1256.94
2018-12-20,1260.11
2018-12-19,1245.32
2018-12-18,1249.53
2018-12-17,1245.64
2018-12-16,1237.03
2018-12-14,1239.02
2018-12-13,1242.18
2018-12-12,1245.60
2018-12-11,1243.10
2018-12-10,1245.52
2018-12-07,1249.31
2018-12-06,1239.48
2018-12-05,1237.78
2018-12-04,1238.76
2018-12-03,1223
2018-12-02,1224.14
2018-11-30,1221.96
2018-11-29,1223.99
2018-11-28,1221.11
2018-11-27,1214.69
2018-11-26,1222.37
2018-11-25,1224.42
2018-11-23,1223.19
2018-11-22,1227.45
2018-11-21,1226.02
2018-11-20,1221.55
2018-11-19,1224.05
2018-11-18,1222.62
2018-11-16,1223.36
2018-11-15,1221.39
2018-11-14,1213.24
2018-11-13,1210.76
2018-11-12,1202.1
2018-11-11,1200.45
2018-11-10,1209.71
2018-11-08,1209.45
2018-11-07,1223.48
2018-11-06,1226.54
2018-11-05,1226.92
2018-11-04,1231.58
2018-11-01,1232.94
2018-10-31,1233.12
2018-10-30,1214.61
2018-10-29,1223
2018-10-28,1229.33
2018-10-25,1233.76
2018-10-24,1232.09
2018-10-23,1234.03
2018-10-22,1230.1
2018-10-21,1221.99
2018-10-18,1226.59
2018-10-17,1225.74
2018-10-16,1222.21
2018-10-15,1224.72
2018-10-14,1226.84
2018-10-11,1217.85
2018-10-10,1224.19
2018-10-09,1194.68
2018-10-08,1189.71
2018-10-07,1187.93
2018-10-04,1202.91
2018-10-03,1199.79
2018-10-02,1197.29
2018-10-01,1202.94
2018-09-30,1188.74
2018-09-27,1191.63
2018-09-26,1182.74
2018-09-25,1194.35
2018-09-24,1201.13
2018-09-23,1198.79
2018-09-20,1199.23
2018-09-19,1207.08
2018-09-18,1203.91
2018-09-17,1198.25
2018-09-16,1201.33
2018-09-13,1193.6
2018-09-12,1201.39
2018-09-11,1206.13
2018-09-10,1198.62
2018-09-09,1195.81
2018-09-06,1195.95
2018-09-05,1200.06
2018-09-04,1196.7
2018-09-03,1191.4
2018-09-02,1200.25
2018-08-30,1200.93
2018-08-29,1199.81
2018-08-28,1206.53
2018-08-27,1201.03
2018-08-26,1211.25
2018-08-23,1206.01
2018-08-22,1185.19
2018-08-21,1195.44
2018-08-20,1196.06
2018-08-19,1190.48
2018-08-16,1184.33
2018-08-15,1174.04
2018-08-14,1174.67
2018-08-13,1193.93
2018-08-12,1193.53
2018-08-09,1211.55
2018-08-08,1212.3
2018-08-07,1213.65
2018-08-06,1210.95
2018-08-05,1207.34
2018-08-02,1213.29
2018-08-01,1207.75
2018-07-31,1215.94
2018-07-30,1223.7
2018-07-29,1221.44
2018-07-26,1222.97
2018-07-25,1222.56
2018-07-24,1231.45
2018-07-23,1224.4
2018-07-22,1224.49
2018-07-19,1231.61
2018-07-18,1222.72
2018-07-17,1227.48
2018-07-16,1227.6
2018-07-15,1240.89
2018-07-12,1241.24
2018-07-11,1247.07
2018-07-10,1242.07
2018-07-09,1255.48
2018-07-08,1257.63
2018-07-05,1254.67
2018-07-04,1257.62
2018-07-03,1256.62
2018-07-02,1252.69
2018-07-01,1241.88
2018-06-28,1252.9
2018-06-27,1248.17
2018-06-26,1252.02
2018-06-25,1258.81
2018-06-24,1265.45
2018-06-21,1269.22
2018-06-20,1267.08
2018-06-19,1267.94
2018-06-18,1274.44
2018-06-17,1278.33
2018-06-14,1280.23
2018-06-13,1302.09
2018-06-12,1299.5
2018-06-11,1295.78
2018-06-10,1300.24
2018-06-07,1298.71
2018-06-06,1297.09
2018-06-05,1296.51
2018-06-04,1296.41
2018-06-03,1291.86
2018-05-31,1293.47
2018-05-30,1298.11
2018-05-29,1301.31
2018-05-28,1298.64
2018-05-27,1297.67
2018-05-24,1300.8
2018-05-23,1304.76
2018-05-22,1293.4
2018-05-21,1291.33
2018-05-20,1292.66
2018-05-17,1292.64
2018-05-16,1290.85
2018-05-15,1290.74
2018-05-14,1290.57
2018-05-13,1313.36
2018-05-10,1318.08
2018-05-09,1321.29
2018-05-08,1312.7
2018-05-07,1314.36
2018-05-06,1314.15
2018-05-03,1314.72
2018-05-02,1312.17
2018-05-01,1304.75
2018-04-30,1303.96
2018-04-29,1315.26
2018-04-26,1323.04
2018-04-25,1316.92
2018-04-24,1323.3
2018-04-23,1330.4
2018-04-22,1324.73
2018-04-19,1335.55
2018-04-18,1345.46
2018-04-17,1349.3
2018-04-16,1347.27
2018-04-15,1345.82
2018-04-12,1345.16
2018-04-11,1335
2018-04-10,1353.18
2018-04-09,1339.56
2018-04-08,1336.26
2018-04-05,1332.8
2018-04-04,1326.56
2018-04-03,1333.22
2018-04-02,1332.77
2018-04-01,1341.29
2018-03-28,1325.15
2018-03-27,1324.76
2018-03-26,1344.68
2018-03-25,1353.48
2018-03-22,1347.6
2018-03-21,1328.92
2018-03-20,1332.04
2018-03-19,1311.13
2018-03-18,1316.88
2018-03-15,1313.57
2018-03-14,1316.12
2018-03-13,1324.93
2018-03-12,1326.38
2018-03-11,1323.02
2018-03-08,1323.46
2018-03-07,1321.91
2018-03-06,1325.52
2018-03-05,1334.62
2018-03-04,1320.3
2018-03-01,1322.18
2018-02-28,1316.96
2018-02-27,1318.07
2018-02-26,1318.46
2018-02-25,1333.26
2018-02-22,1328.84
2018-02-21,1332.04
2018-02-20,1324.46
2018-02-19,1329.44
2018-02-18,1346.62
2018-02-15,1347.51
2018-02-14,1353.23
2018-02-13,1350.42
2018-02-12,1329.36
2018-02-11,1322.52
2018-02-08,1315.73
2018-02-07,1318.83
2018-02-06,1318.42
2018-02-05,1324.34
2018-02-04,1339.53
2018-02-01,1332.69
2018-01-31,1348.79
2018-01-30,1345.04
2018-01-29,1338.52
2018-01-28,1340.34
2018-01-25,1350.1
2018-01-24,1348.27
2018-01-23,1358.4
2018-01-22,1341.34
2018-01-21,1333.93
2018-01-18,1331.56
2018-01-17,1326.81
2018-01-16,1326.11
2018-01-15,1338.4
2018-01-14,1340.07
2018-01-11,1338.3
2018-01-10,1322.36
2018-01-09,1316.63
2018-01-08,1312.78
2018-01-07,1320.41
2018-01-04,1320.03
2018-01-03,1322.71
2018-01-02,1313.11
2018-01-01,1317.41
2017-12-28,1302.66
2017-12-27,1294.9
2017-12-26,1287.16
2017-12-25,1282.85
2017-12-21,1275.39
2017-12-20,1266.59
2017-12-19,1265.41
2017-12-18,1261.57
2017-12-17,1262.02
2017-12-14,1255.46
