date,value
1983-02-04,8641
1983-02-11,8647
1983-02-18,8654
1983-02-25,8660
1983-03-04,8664
1983-03-11,8669
1983-03-18,8673
1983-03-25,8677
1983-04-01,8677
1983-04-08,8679
1983-04-15,8682
1983-04-29,8686
1983-05-13,8684
1983-05-20,8683
1983-06-03,8680
1983-06-10,8678
1983-06-17,8676
1983-06-24,8676
1983-07-01,8676
1983-07-08,8669
1983-07-15,8662
1983-07-22,8654
1983-07-29,8647
1983-08-05,8649
1983-08-12,8650
1983-08-19,8652
1983-08-26,8653
1983-09-02,8656
1983-09-09,8660
1983-09-16,8663
1983-09-23,8666
1983-09-30,8666
1983-10-07,8663
1983-10-14,8660
1983-10-21,8657
1983-10-28,8654
1983-11-04,8647
1983-11-11,8639
1983-11-18,8632
1983-11-25,8624
1983-12-02,8621
1983-12-09,8618
1983-12-16,8615
1983-12-23,8612
1983-12-30,8612
1984-01-06,8624
1984-01-13,8636
1984-01-20,8647
1984-01-27,8659
1984-02-03,8676
1984-02-10,8693
1984-02-17,8709
1984-02-24,8726
1984-03-02,8724
1984-03-09,8722
1984-03-16,8720
1984-03-23,8718
1984-03-30,8718
1984-04-06,8711
1984-04-13,8703
1984-04-20,8696
1984-04-27,8688
1984-05-04,8704
1984-05-11,8721
1984-05-18,8737
1984-05-25,8753
1984-06-01,8751
1984-06-08,8748
1984-06-15,8746
1984-06-22,8743
1984-06-29,8743
1984-07-06,8750
1984-07-13,8756
1984-07-20,8763
1984-07-27,8769
1984-08-03,8772
1984-08-10,8775
1984-08-17,8778
1984-08-24,8781
1984-08-31,8781
1984-09-07,8776
1984-09-14,8770
1984-09-21,8765
1984-09-28,8759
1984-10-05,8781
1984-10-12,8803
1984-10-19,8825
1984-10-26,8847
1984-11-02,8847
1984-11-09,8847
1984-11-16,8846
1984-11-23,8846
1984-11-30,8846
1984-12-07,8834
1984-12-14,8822
1984-12-21,8809
1984-12-28,8797
1985-01-04,8830
1985-01-11,8863
1985-01-18,8896
1985-01-25,8929
1985-02-01,8929
1985-02-08,8929
1985-02-15,8928
1985-02-22,8928
1985-03-01,8928
1985-03-08,8928
1985-03-15,8927
1985-03-22,8927
1985-03-29,8927
1985-04-05,8906
1985-04-12,8885
1985-04-19,8863
1985-04-26,8842
1985-05-03,8874
1985-05-10,8906
1985-05-17,8937
1985-05-24,8969
1985-05-31,8969
1985-06-07,8968
1985-06-14,8967
1985-06-21,8966
1985-06-28,8965
1985-07-05,8950
1985-07-12,8935
1985-07-19,8919
1985-07-26,8904
1985-08-02,8902
1985-08-09,8900
1985-08-16,8897
1985-08-23,8895
1985-08-30,8895
1985-09-06,8890
1985-09-13,8885
1985-09-20,8879
1985-09-27,8874
1985-10-04,8891
1985-10-11,8909
1985-10-18,8926
1985-10-25,8943
1985-11-01,8940
1985-11-08,8938
1985-11-15,8935
1985-11-22,8932
1985-11-29,8932
1985-12-06,8932
1985-12-13,8931
1985-12-20,8931
1985-12-27,8930
1986-01-03,8933
1986-01-10,8936
1986-01-17,8939
1986-01-24,8942
1986-01-31,8942
1986-02-07,8942
1986-02-14,8941
1986-02-21,8941
1986-02-28,8940
1986-03-07,8940
1986-03-14,8939
1986-03-21,8939
1986-03-28,8939
1986-04-04,8908
1986-04-11,8877
1986-04-18,8846
1986-04-25,8815
1986-05-02,8813
1986-05-09,8810
1986-05-16,8808
1986-05-23,8805
1986-05-30,8805
1986-06-06,8802
1986-06-13,8799
1986-06-20,8795
1986-06-27,8792
1986-07-04,8778
1986-07-11,8765
1986-07-18,8751
1986-07-25,8737
1986-08-01,8737
1986-08-08,8730
1986-08-15,8723
1986-08-22,8715
1986-08-29,8708
1986-09-05,8699
1986-09-12,8690
1986-09-19,8680
1986-09-26,8671
1986-10-03,8697
1986-10-10,8722
1986-10-17,8748
1986-10-24,8773
1986-10-31,8773
1986-11-07,8660
1986-11-14,8547
1986-11-21,8434
1986-11-28,8321
1986-12-05,8328
1986-12-12,8335
1986-12-19,8341
1986-12-26,8348
1987-01-02,8349
1987-01-09,8351
1987-01-16,8352
1987-01-23,8354
1987-01-30,8354
1987-02-06,8361
1987-02-13,8369
1987-02-20,8376
1987-02-27,8383
1987-03-06,8371
1987-03-13,8360
1987-03-20,8348
1987-03-27,8336
1987-04-03,8342
1987-04-10,8349
1987-04-17,8355
1987-04-24,8361
1987-05-01,8361
1987-05-08,8345
1987-05-15,8329
1987-05-22,8312
1987-05-29,8296
1987-06-05,8298
1987-06-12,8300
1987-06-19,8301
1987-06-26,8303
1987-07-03,8299
1987-07-10,8295
1987-07-17,8291
1987-07-24,8287
1987-07-31,8287
1987-08-07,8266
1987-08-14,8246
1987-08-21,8225
1987-08-28,8204
1987-09-04,8194
1987-09-11,8183
1987-09-18,8173
1987-09-25,8162
1987-10-02,8192
1987-10-09,8222
1987-10-16,8251
1987-10-23,8281
1987-10-30,8281
1987-11-06,8282
1987-11-13,8282
1987-11-20,8283
1987-11-27,8283
1987-12-04,8299
1987-12-11,8316
1987-12-18,8332
1987-12-25,8348
1988-01-01,8348
1988-01-08,8360
1988-01-15,8372
1988-01-22,8383
1988-01-29,8395
1988-02-05,8385
1988-02-12,8374
1988-02-19,8364
1988-02-26,8353
1988-03-04,8341
1988-03-11,8330
1988-03-18,8318
1988-03-25,8306
1988-04-01,8306
1988-04-08,8297
1988-04-15,8288
1988-04-22,8278
1988-04-29,8269
1988-05-06,8262
1988-05-13,8255
1988-05-20,8247
1988-05-27,8240
1988-06-03,8233
1988-06-10,8225
1988-06-17,8218
1988-06-24,8210
1988-07-01,8210
1988-07-08,8205
1988-07-15,8200
1988-07-22,8194
1988-07-29,8189
1988-08-05,8174
1988-08-12,8159
1988-08-19,8143
1988-08-26,8128
1988-09-02,8133
1988-09-09,8138
1988-09-16,8142
1988-09-23,8147
1988-09-30,8147
1988-10-07,8132
1988-10-14,8116
1988-10-21,8101
1988-10-28,8085
1988-11-04,8070
1988-11-11,8056
1988-11-18,8041
1988-11-25,8026
1988-12-02,8028
1988-12-09,8031
1988-12-16,8033
1988-12-23,8035
1988-12-30,8035
1989-01-06,8032
1989-01-13,8028
1989-01-20,8025
1989-01-27,8021
1989-02-03,8007
1989-02-10,7993
1989-02-17,7979
1989-02-24,7965
1989-03-03,7954
1989-03-10,7943
1989-03-17,7932
1989-03-24,7921
1989-03-31,7921
1989-04-07,7911
1989-04-14,7901
1989-04-21,7890
1989-04-28,7880
1989-05-05,7871
1989-05-12,7862
1989-05-19,7852
1989-05-26,7843
1989-06-02,7814
1989-06-09,7785
1989-06-16,7755
1989-06-23,7726
1989-06-30,7726
1989-07-07,7700
1989-07-14,7674
1989-07-21,7648
1989-07-28,7622
1989-08-04,7632
1989-08-11,7642
1989-08-18,7652
1989-08-25,7662
1989-09-01,7662
1989-09-08,7657
1989-09-15,7652
1989-09-22,7646
1989-09-29,7641
1989-10-06,7642
1989-10-13,7643
1989-10-20,7643
1989-10-27,7644
1989-11-03,7633
1989-11-10,7623
1989-11-17,7612
1989-11-24,7601
1989-12-01,7601
1989-12-08,7592
1989-12-15,7583
1989-12-22,7574
1989-12-29,7565
1990-01-05,7552
1990-01-12,7539
1990-01-19,7525
1990-01-26,7512
1990-02-02,7484
1990-02-09,7456
1990-02-16,7427
1990-02-23,7399
1990-03-02,7402
1990-03-09,7405
1990-03-16,7408
1990-03-23,7411
1990-03-30,7411
1990-04-06,7386
1990-04-13,7361
1990-04-20,7335
1990-04-27,7310
1990-05-04,7293
1990-05-11,7276
1990-05-18,7258
1990-05-25,7241
1990-06-01,7241
1990-06-08,7176
1990-06-15,7111
1990-06-22,7046
1990-06-29,6981
1990-07-06,7018
1990-07-13,7056
1990-07-20,7093
1990-07-27,7130
1990-08-03,7090
1990-08-10,7051
1990-08-17,7011
1990-08-24,6971
1990-08-31,6971
1990-09-07,6976
1990-09-14,6981
1990-09-21,6999
1990-09-28,7016
1990-10-05,7084
1990-10-12,7151
1990-10-19,7206
1990-10-26,7278
1990-11-02,7298
1990-11-09,7304
1990-11-16,7216
1990-11-23,7244
1990-11-30,7217
1990-12-07,7145
1990-12-14,7286
1990-12-21,7238
1990-12-28,7319
1991-01-04,7440
1991-01-11,7440
1991-01-18,7494
1991-01-25,7409
1991-02-01,7408
1991-02-08,7405
1991-02-15,7397
1991-02-22,7446
1991-03-01,7427
1991-03-08,7410
1991-03-15,7406
1991-03-22,7399
1991-03-29,7394
1991-04-05,7384
1991-04-12,7365
1991-04-19,7361
1991-04-26,7352
1991-05-03,7336
1991-05-10,7329
1991-05-17,7306
1991-05-24,7304
1991-05-31,7311
1991-06-07,7310
1991-06-14,7330
1991-06-21,7330
1991-06-28,7344
1991-07-05,7364
1991-07-12,7366
1991-07-19,7368
1991-07-26,7363
1991-08-02,7353
1991-08-09,7318
1991-08-16,7307
1991-08-23,7272
1991-08-30,7255
1991-09-06,7235
1991-09-13,7227
1991-09-20,7255
1991-09-27,7277
1991-10-04,7335
1991-10-11,7365
1991-10-18,7379
1991-10-25,7383
1991-11-01,7378
1991-11-08,7316
1991-11-15,7327
1991-11-22,7328
1991-11-29,7295
1991-12-06,7354
1991-12-13,7180
1991-12-20,7196
1991-12-27,7252
1992-01-03,7263
1992-01-10,7433
1992-01-17,7379
1992-01-24,7353
1992-01-31,7336
1992-02-07,7329
1992-02-14,7362
1992-02-21,7358
1992-02-28,7360
1992-03-06,7354
1992-03-13,7349
1992-03-20,7348
1992-03-27,7327
1992-04-03,7320
1992-04-10,7303
1992-04-17,7310
1992-04-24,7299
1992-05-01,7276
1992-05-08,7269
1992-05-15,7220
1992-05-22,7212
1992-05-29,7208
1992-06-05,7206
1992-06-12,7223
1992-06-19,7226
1992-06-26,7220
1992-07-03,7215
1992-07-10,7190
1992-07-17,7171
1992-07-24,7146
1992-07-31,7106
1992-08-07,7106
1992-08-14,7067
1992-08-21,7073
1992-08-28,6978
1992-09-04,6909
1992-09-11,6900
1992-09-18,6873
1992-09-25,6966
1992-10-02,7016
1992-10-09,7030
1992-10-16,7035
1992-10-23,7031
1992-10-30,7030
1992-11-06,7030
1992-11-13,7011
1992-11-20,6998
1992-11-27,7004
1992-12-04,7020
1992-12-11,7053
1992-12-18,7081
1992-12-25,7078
1993-01-01,7058
1993-01-08,7040
1993-01-15,7014
1993-01-22,7012
1993-01-29,7022
1993-02-05,7026
1993-02-12,7036
1993-02-19,7015
1993-02-26,7001
1993-03-05,6998
1993-03-12,6985
1993-03-19,6990
1993-03-26,6986
1993-04-02,6974
1993-04-09,6949
1993-04-16,6929
1993-04-23,6916
1993-04-30,6901
1993-05-07,6906
1993-05-14,6893
1993-05-21,6870
1993-05-28,6852
1993-06-04,6824
1993-06-11,6817
1993-06-18,6804
1993-06-25,6780
1993-07-02,6769
1993-07-09,6757
1993-07-16,6727
1993-07-23,6674
1993-07-30,6671
1993-08-06,6667
1993-08-13,6696
1993-08-20,6755
1993-08-27,6770
1993-09-03,6765
1993-09-10,6741
1993-09-17,6724
1993-09-24,6689
1993-10-01,6676
1993-10-08,6674
1993-10-15,6690
1993-10-22,6737
1993-10-29,6783
1993-11-05,6837
1993-11-12,6865
1993-11-19,6867
1993-11-26,6870
1993-12-03,6888
1993-12-10,6898
1993-12-17,6910
1993-12-24,6904
1993-12-31,6883
1994-01-07,6871
1994-01-14,6867
1994-01-21,6864
1994-01-28,6872
1994-02-04,6862
1994-02-11,6842
1994-02-18,6768
1994-02-25,6744
1994-03-04,6726
1994-03-11,6701
1994-03-18,6747
1994-03-25,6699
1994-04-01,6679
1994-04-08,6663
1994-04-15,6659
1994-04-22,6582
1994-04-29,6598
1994-05-06,6614
1994-05-13,6601
1994-05-20,6711
1994-05-27,6681
1994-06-03,6678
1994-06-10,6647
1994-06-17,6626
1994-06-24,6632
1994-07-01,6610
1994-07-08,6625
1994-07-15,6617
1994-07-22,6584
1994-07-29,6574
1994-08-05,6572
1994-08-12,6548
1994-08-19,6552
1994-08-26,6557
1994-09-02,6549
1994-09-09,6555
1994-09-16,6552
1994-09-23,6555
1994-09-30,6577
1994-10-07,6613
1994-10-14,6658
1994-10-21,6685
1994-10-28,6683
1994-11-04,6665
1994-11-11,6643
1994-11-18,6634
1994-11-25,6633
1994-12-02,6596
1994-12-09,6609
1994-12-16,6606
1994-12-23,6625
1994-12-30,6676
1995-01-06,6671
1995-01-13,6675
1995-01-20,6642
1995-01-27,6605
1995-02-03,6608
