DATE,T10Y2Y,-0.16,
01/04/16,1.22,1.06,0
01/05/16,1.21,1.05,0
01/06/16,1.19,1.03,0
01/07/16,1.2,1.04,0
01/08/16,1.19,1.03,0
01/11/16,1.23,1.07,0
01/12/16,1.19,1.03,0
01/13/16,1.17,1.01,0
01/14/16,1.2,1.04,0
01/15/16,1.18,1.02,0
01/19/16,1.18,1.02,0
01/20/16,1.16,1,0
01/21/16,1.18,1.02,0
01/22/16,1.19,1.03,0
01/25/16,1.15,0.99,1
01/26/16,1.16,1,1
01/27/16,1.18,1.02,2
01/28/16,1.17,1.01,2
01/29/16,1.18,1.02,2
02/01/16,1.16,1,2
02/02/16,1.12,0.96,3
02/03/16,1.16,1,0
02/04/16,1.17,1.01,5
02/05/16,1.12,0.96,6
02/08/16,1.09,0.93,0
02/09/16,1.05,0.89,0
02/10/16,1,0.84,0
02/11/16,0.99,0.83,0
02/12/16,1.03,0.87,0
02/16/16,1.04,0.88,0
02/17/16,1.07,0.91,0
02/18/16,1.04,0.88,0
02/19/16,1,0.84,0
02/22/16,0.99,0.83,0
02/23/16,0.98,0.82,0
02/24/16,1,0.84,0
02/25/16,0.99,0.83,0
02/26/16,0.96,0.8,0
02/29/16,0.96,0.8,0
03/01/16,0.98,0.82,0
03/02/16,0.99,0.83,0
03/03/16,0.98,0.82,0
03/04/16,1,0.84,0
03/07/16,1,0.84,0
03/08/16,0.95,0.79,0
03/09/16,1,0.84,0
03/10/16,1,0.84,0
03/11/16,1.01,0.85,0
03/14/16,1,0.84,0
03/15/16,0.99,0.83,0
03/16/16,1.07,0.91,0
03/17/16,1.04,0.88,0
03/18/16,1.04,0.88,0
03/21/16,1.05,0.89,0
03/22/16,1.03,0.87,0
03/23/16,1.01,0.85,0
03/24/16,1.02,0.86,0
03/28/16,1,0.84,0
03/29/16,1.03,0.87,0
03/30/16,1.07,0.91,0
03/31/16,1.05,0.89,0
04/01/16,1.03,0.87,0
04/04/16,1.03,0.87,0
04/05/16,1.01,0.85,0
04/06/16,1.03,0.87,0
04/07/16,1,0.84,0
04/08/16,1.02,0.86,0
04/11/16,1.03,0.87,0
04/12/16,1.05,0.89,0
04/13/16,1.02,0.86,0
04/14/16,1.03,0.87,0
04/15/16,1.02,0.86,0
04/18/16,1.03,0.87,0
04/19/16,1.02,0.86,0
04/20/16,1.05,0.89,0
04/21/16,1.06,0.9,0
04/22/16,1.05,0.89,0
04/25/16,1.06,0.9,0
04/26/16,1.08,0.92,0
04/27/16,1.04,0.88,0
04/28/16,1.06,0.9,0
04/29/16,1.06,0.9,0
05/02/16,1.08,0.92,0
05/03/16,1.06,0.9,0
05/04/16,1.04,0.88,0
05/05/16,1.04,0.88,0
05/06/16,1.05,0.89,0
05/09/16,1.05,0.89,0
05/10/16,1.05,0.89,0
05/11/16,0.99,0.83,0
05/12/16,0.99,0.83,0
05/13/16,0.95,0.79,0
05/16/16,0.96,0.8,0
05/17/16,0.94,0.78,0
05/18/16,0.97,0.81,0
05/19/16,0.96,0.8,0
05/20/16,0.96,0.8,0
05/23/16,0.93,0.77,0
05/24/16,0.94,0.78,0
05/25/16,0.95,0.79,0
05/26/16,0.96,0.8,0
05/27/16,0.95,0.79,0
05/31/16,0.97,0.81,0
06/01/16,0.94,0.78,0
06/02/16,0.92,0.76,0
06/03/16,0.93,0.77,0
06/06/16,0.93,0.77,0
06/07/16,0.94,0.78,0
06/08/16,0.93,0.77,0
06/09/16,0.91,0.75,0
06/10/16,0.91,0.75,0
06/13/16,0.89,0.73,0
06/14/16,0.88,0.72,0
06/15/16,0.91,0.75,0
06/16/16,0.87,0.71,0
06/17/16,0.92,0.76,0
06/20/16,0.93,0.77,0
06/21/16,0.95,0.79,1
06/22/16,0.94,0.78,2
06/23/16,0.96,0.8,2
06/24/16,0.93,0.77,4
06/27/16,0.85,0.69,2
06/28/16,0.85,0.69,0
06/29/16,0.88,0.72,0
06/30/16,0.91,0.75,0
07/01/16,0.87,0.71,0
07/05/16,0.81,0.65,0
07/06/16,0.8,0.64,0
07/07/16,0.82,0.66,0
07/08/16,0.76,0.6,0
07/11/16,0.77,0.61,0
07/12/16,0.84,0.68,0
07/13/16,0.8,0.64,0
07/14/16,0.85,0.69,0
07/15/16,0.89,0.73,0
07/18/16,0.91,0.75,0
07/19/16,0.86,0.7,0
07/20/16,0.86,0.7,0
07/21/16,0.87,0.71,0
07/22/16,0.86,0.7,0
07/25/16,0.86,0.7,0
07/26/16,0.82,0.66,0
07/27/16,0.79,0.63,0
07/28/16,0.8,0.64,0
07/29/16,0.79,0.63,0
08/01/16,0.84,0.68,0
08/02/16,0.88,0.72,0
08/03/16,0.88,0.72,0
08/04/16,0.87,0.71,0
08/05/16,0.87,0.71,0
08/08/16,0.85,0.69,0
08/09/16,0.84,0.68,0
08/10/16,0.81,0.65,0
08/11/16,0.81,0.65,0
08/12/16,0.8,0.64,0
08/15/16,0.83,0.67,0
08/16/16,0.81,0.65,0
08/17/16,0.82,0.66,0
08/18/16,0.82,0.66,0
08/19/16,0.82,0.66,0
08/22/16,0.79,0.63,0
08/23/16,0.81,0.65,0
08/24/16,0.8,0.64,0
08/25/16,0.8,0.64,0
08/26/16,0.78,0.62,0
08/29/16,0.76,0.6,0
08/30/16,0.77,0.61,0
08/31/16,0.78,0.62,0
09/01/16,0.79,0.63,0
09/02/16,0.8,0.64,0
09/06/16,0.81,0.65,0
09/07/16,0.8,0.64,0
09/08/16,0.83,0.67,0
09/09/16,0.88,0.72,0
09/12/16,0.89,0.73,0
09/13/16,0.93,0.77,0
09/14/16,0.93,0.77,0
09/15/16,0.97,0.81,0
09/16/16,0.93,0.77,1
09/19/16,0.91,0.75,0
09/20/16,0.9,0.74,0
09/21/16,0.87,0.71,0
09/22/16,0.84,0.68,0
09/23/16,0.85,0.69,0
09/26/16,0.83,0.67,0
09/27/16,0.81,0.65,0
09/28/16,0.82,0.66,0
09/29/16,0.83,0.67,0
09/30/16,0.83,0.67,0
10/03/16,0.83,0.67,0
10/04/16,0.87,0.71,0
10/05/16,0.87,0.71,0
10/06/16,0.89,0.73,0
10/07/16,0.9,0.74,0
10/11/16,0.9,0.74,0
10/12/16,0.92,0.76,0
10/13/16,0.9,0.74,0
10/14/16,0.96,0.8,0
10/17/16,0.96,0.8,0
10/18/16,0.93,0.77,0
10/19/16,0.95,0.79,0
10/20/16,0.92,0.76,0
10/21/16,0.9,0.74,0
10/24/16,0.93,0.77,0
10/25/16,0.91,0.75,0
10/26/16,0.93,0.77,0
10/27/16,0.98,0.82,0
10/28/16,1,0.84,0
10/31/16,0.98,0.82,0
11/01/16,1,0.84,0
11/02/16,1,0.84,0
