Date Ended,Question,Participation Rate,Brier Score,Median Score,Accuracy Score 
"Dec 15, 2018 12:00PM ","Before 15 December 2018, will the House of Commons approve the Withdrawal Agreement of the United Kingdom from the European Union? ",85%,0.004,0,0.003
"Dec 28, 2018 03:00PM ",What will be the closing spot price for an ounce of gold against the US dollar on 28 December 2018? ,98%,0.218,0.294,-0.074
"Jan 1, 2019 12:00PM ",What will be the percent change in the U.S. Consumer Price Index for All Urban Consumers (CPI-U) for the 12 months ending in December 2018? ,73%,0.904,0.807,0.071
"Jan 1, 2019 03:00PM ",Will the yield curve for 2-year and 10-year U.S. Treasuries invert before 2019? ,73%,0.004,0.005,-0.001
"Jan 2, 2019 12:00PM ","Between 30 November 2018 and 30 September 2019, which country will next land on the moon? ",94%,0.005,0.091,-0.081
"Jan 4, 2019 10:29AM ",What will the Bureau of Labor Statistics report the U.S. civilian unemployment rate (U3) to be for the month of December 2018? ,73%,0.083,0.194,-0.082
"Jan 29, 2019 12:00PM ",Will California's Pacific Gas and Electric Company file for bankruptcy before 1 November 2019? ,100%,1.225,0.869,0.356
"Feb 1, 2019 12:00PM ","How many total ""Southwest Family Unit Subject and Unaccompanied Alien Children Apprehensions"" will U.S. Customs and Border Protection report for the El Centro and San Diego sectors in January 2019? ",73%,0.206,0.335,-0.094
"Mar 30, 2019 12:00PM ",Will the UK hold a referendum vote on its relationship with the EU or a snap general election before 29 March 2019?  ,99%,0,0.415,-0.411
"Apr 1, 2019 12:00PM ",What will be the Bank of England's Bank Rate on 1 April 2019?  ,89%,0.022,0.092,-0.063
"Apr 21, 2019 12:00PM ",Who will win Ukraine's 2019 presidential election? ,74%,0.134,0.273,-0.103
"Apr 22, 2019 12:00PM ","Before 30 March 2019, what will happen next with regard to the UK's notification of Article 50? ",91%,0.043,0.41,-0.334
"May 10, 2019 12:00PM ",What will be Uber's end-of-day market capitalization on the day of its initial public offering? ,99%,0.454,0.438,0.016
"May 25, 2019 12:00PM ",Will Narendra Modi be appointed to a second consecutive term as prime minister of India after the 2019 general elections? ,94%,0.056,0.161,-0.099
"May 26, 2019 12:00PM ",Will voter turnout for the 2019 European Parliament elections set a record low? ,100%,0.003,0.092,-0.089
"May 29, 2019 12:00PM ",Will Robert Mueller cease to be Special Counsel before 1 January 2020? ,99%,0.654,0.302,0.35
"Jul 1, 2019 10:00AM ",Will there be a new prime minister of the United Kingdom before 1 July 2019?  ,95%,0.087,0.442,-0.338
"Jul 1, 2019 12:00PM ",What percentage of all domestic U.S. equity funds will be outperformed by the S&P Composite 1500 index for the one-year period ending 30 June 2019? ,100%,0.101,0.26,-0.158
"Jul 24, 2019 09:00AM ","Before 1 October 2019, will Robert Mueller testify in person before Congress? ",100%,0.291,0.163,0.128
"Aug 1, 2019 11:00AM ","Before 1 August 2019, will Facebook announce that Mark Zuckerberg will cease to be the company's sole Chairman or CEO? ",100%,0.001,0.042,-0.042
"Aug 22, 2019 10:00AM ","Before 22 August 2019, will there be a lethal confrontation between the national military forces of Iran and the United States either in Iran or at sea? ",98%,0.009,0.026,-0.017
"Aug 23, 2019 04:00PM ",What will be the end-of-day closing value for the U.S. dollar against the Russian ruble on 23 August 2019?  ,100%,0.34,0.374,-0.034
