"","Day","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1",1,386.85,388.12,391.29,392.87,394.89,397.51,399.52,402.4,405.36,407.34,409.87
"2",2,386.87,388.14,391.32,392.89,394.91,397.53,399.54,402.42,405.4,407.36,409.9
"3",3,386.89,388.17,391.34,392.9,394.93,397.54,399.56,402.44,405.43,407.39,409.92
"4",4,386.91,388.2,391.36,392.92,394.95,397.55,399.58,402.45,405.46,407.41,409.94
"5",5,386.93,388.22,391.38,392.94,394.98,397.57,399.61,402.47,405.49,407.44,409.96
"6",6,386.96,388.25,391.4,392.95,395,397.58,399.63,402.48,405.53,407.46,409.98
"7",7,386.98,388.27,391.42,392.97,395.03,397.59,399.65,402.5,405.56,407.49,410.01
"8",8,386.99,388.3,391.43,392.98,395.05,397.6,399.67,402.51,405.59,407.51,410.03
"9",9,387.01,388.32,391.45,392.99,395.08,397.61,399.69,402.52,405.62,407.53,410.05
"10",10,387.03,388.34,391.46,393.01,395.1,397.62,399.71,402.53,405.65,407.55,410.07
"11",11,387.05,388.36,391.48,393.02,395.13,397.63,399.74,402.54,405.68,407.58,410.09
"12",12,387.07,388.39,391.49,393.03,395.16,397.64,399.76,402.56,405.71,407.6,410.11
"13",13,387.08,388.41,391.5,393.04,395.19,397.65,399.78,402.57,405.74,407.62,410.13
"14",14,387.1,388.43,391.51,393.05,395.22,397.66,399.8,402.58,405.77,407.64,410.15
"15",15,387.11,388.45,391.52,393.07,395.24,397.67,399.82,402.59,405.8,407.66,410.17
"16",16,387.13,388.47,391.53,393.08,395.27,397.68,399.85,402.59,405.83,407.68,410.19
"17",17,387.14,388.49,391.54,393.09,395.3,397.69,399.87,402.6,405.85,407.7,410.21
"18",18,387.15,388.51,391.55,393.1,395.33,397.7,399.89,402.61,405.88,407.72,410.23
"19",19,387.17,388.53,391.56,393.11,395.36,397.71,399.91,402.62,405.91,407.74,410.25
"20",20,387.18,388.55,391.56,393.11,395.39,397.73,399.93,402.63,405.93,407.76,410.26
"21",21,387.19,388.57,391.57,393.12,395.42,397.74,399.96,402.64,405.96,407.77,410.28
"22",22,387.2,388.58,391.57,393.13,395.45,397.75,399.98,402.64,405.98,407.79,410.3
"23",23,387.21,388.6,391.57,393.14,395.49,397.76,400,402.65,406.01,407.81,410.32
"24",24,387.23,388.62,391.57,393.15,395.52,397.77,400.02,402.66,406.03,407.82,410.34
"25",25,387.24,388.64,391.58,393.15,395.55,397.78,400.04,402.66,406.06,407.84,410.36
"26",26,387.25,388.65,391.58,393.16,395.58,397.79,400.06,402.67,406.08,407.85,410.37
"27",27,387.26,388.67,391.58,393.17,395.61,397.81,400.08,402.68,406.1,407.87,410.39
"28",28,387.27,388.68,391.58,393.17,395.64,397.82,400.1,402.69,406.12,407.88,410.41
"29",29,387.28,388.7,391.58,393.18,395.67,397.83,400.12,402.69,406.14,407.89,410.42
