"","date","United_States_of_America"
"280",2019-12-31,0
"279",2020-01-01,0
"278",2020-01-02,0
"277",2020-01-03,0
"276",2020-01-04,0
"275",2020-01-05,0
"274",2020-01-06,0
"273",2020-01-07,0
"272",2020-01-08,0
"271",2020-01-09,0
"270",2020-01-10,0
"269",2020-01-11,0
"268",2020-01-12,0
"267",2020-01-13,0
"266",2020-01-14,0
"265",2020-01-15,0
"264",2020-01-16,0
"263",2020-01-17,0
"262",2020-01-18,0
"261",2020-01-19,0
"260",2020-01-20,0
"259",2020-01-21,0
"258",2020-01-22,0
"257",2020-01-23,0
"256",2020-01-24,0
"255",2020-01-25,0
"254",2020-01-26,0
"253",2020-01-27,0
"252",2020-01-28,0
"251",2020-01-29,0
"250",2020-01-30,0
"249",2020-01-31,0
"248",2020-02-01,0
"247",2020-02-02,0
"246",2020-02-03,0
"245",2020-02-04,0
"244",2020-02-05,0
"243",2020-02-06,0
"242",2020-02-07,0
"241",2020-02-08,0
"240",2020-02-09,0
"239",2020-02-10,0
"238",2020-02-11,0
"237",2020-02-12,0
"236",2020-02-13,0
"235",2020-02-14,0
"234",2020-02-15,0
"233",2020-02-16,0
"232",2020-02-17,0
"231",2020-02-18,0
"230",2020-02-19,0
"229",2020-02-20,0
"228",2020-02-21,0
"227",2020-02-22,0
"226",2020-02-23,0
"225",2020-02-24,0
"224",2020-02-25,0
"223",2020-02-26,0
"222",2020-02-27,0
"221",2020-02-28,0
"220",2020-02-29,0
"219",2020-03-01,1
"218",2020-03-02,1
"1002",2020-03-03,4
"723",2020-03-04,3
"722",2020-03-05,2
"721",2020-03-06,1
"1844",2020-03-07,2
"217",2020-03-08,3
"501",2020-03-09,4
"500",2020-03-10,5
"216",2020-03-11,2
"498",2020-03-12,2
"497",2020-03-13,10
"496",2020-03-14,7
"215",2020-03-15,10
"214",2020-03-16,12
"213",2020-03-17,16
"212",2020-03-18,23
"211",2020-03-19,42
"210",2020-03-20,0
"209",2020-03-21,110
"208",2020-03-22,80
"207",2020-03-23,131
"206",2020-03-24,119
"205",2020-03-25,211
"204",2020-03-26,249
"203",2020-03-27,246
"202",2020-03-28,411
"201",2020-03-29,484
"200",2020-03-30,318
"199",2020-03-31,661
"198",2020-04-01,909
"197",2020-04-02,1059
"196",2020-04-03,915
"195",2020-04-04,1104
"194",2020-04-05,1344
"193",2020-04-06,1146
"192",2020-04-07,1342
"191",2020-04-08,1906
"190",2020-04-09,1922
"189",2020-04-10,1873
"188",2020-04-11,2087
"187",2020-04-12,1831
"186",2020-04-13,1500
"185",2020-04-14,1541
"184",2020-04-15,2408
"183",2020-04-16,4928
"182",2020-04-17,2299
"181",2020-04-18,3770
"180",2020-04-19,1856
"179",2020-04-20,1772
"178",2020-04-21,1857
"177",2020-04-22,2524
"176",2020-04-23,1721
"175",2020-04-24,3179
"174",2020-04-25,1054
"173",2020-04-26,2172
"172",2020-04-27,1687
"171",2020-04-28,1369
"170",2020-04-29,2110
"169",2020-04-30,2611
"168",2020-05-01,2040
"167",2020-05-02,2062
"166",2020-05-03,1317
"165",2020-05-04,1297
"164",2020-05-05,1252
"163",2020-05-06,2144
"162",2020-05-07,2353
