"","date","world"
"281",2019-12-31,0
"280",2020-01-01,0
"279",2020-01-02,0
"278",2020-01-03,0
"277",2020-01-04,0
"276",2020-01-05,0
"275",2020-01-06,0
"274",2020-01-07,0
"273",2020-01-08,0
"272",2020-01-09,0
"271",2020-01-10,0
"270",2020-01-11,1
"269",2020-01-12,1
"268",2020-01-13,1
"267",2020-01-14,1
"266",2020-01-15,2
"265",2020-01-16,2
"264",2020-01-17,2
"263",2020-01-18,2
"262",2020-01-19,3
"261",2020-01-20,3
"260",2020-01-21,6
"259",2020-01-22,17
"258",2020-01-23,17
"257",2020-01-24,26
"256",2020-01-25,41
"255",2020-01-26,56
"254",2020-01-27,81
"253",2020-01-28,106
"252",2020-01-29,132
"251",2020-01-30,170
"250",2020-01-31,213
"249",2020-02-01,259
"248",2020-02-02,305
"247",2020-02-03,362
"246",2020-02-04,427
"245",2020-02-05,493
"244",2020-02-06,565
"243",2020-02-07,638
"242",2020-02-08,724
"241",2020-02-09,813
"240",2020-02-10,910
"239",2020-02-11,1018
"238",2020-02-12,1115
"237",2020-02-13,1370
"236",2020-02-14,1383
"235",2020-02-15,1527
"234",2020-02-16,1669
"233",2020-02-17,1775
"232",2020-02-18,1873
"231",2020-02-19,2012
"230",2020-02-20,2128
"229",2020-02-21,2247
"228",2020-02-22,2359
"227",2020-02-23,2463
"226",2020-02-24,2619
"225",2020-02-25,2698
"224",2020-02-26,2762
"223",2020-02-27,2800
"222",2020-02-28,2857
"221",2020-02-29,2921
"220",2020-03-01,2979
"219",2020-03-02,3046
"1006",2020-03-03,3118
"726",2020-03-04,3202
"725",2020-03-05,3282
"724",2020-03-06,3384
"1852",2020-03-07,3488
"218",2020-03-08,3585
"503",2020-03-09,3813
"502",2020-03-10,4022
"217",2020-03-11,4294
"500",2020-03-12,4625
"499",2020-03-13,4976
"498",2020-03-14,5418
"216",2020-03-15,5785
"215",2020-03-16,6535
"214",2020-03-17,7141
"213",2020-03-18,7953
"212",2020-03-19,8911
"211",2020-03-20,9985
"210",2020-03-21,11370
"209",2020-03-22,13087
"208",2020-03-23,14775
"207",2020-03-24,16629
"206",2020-03-25,18934
"205",2020-03-26,21578
"204",2020-03-27,24383
"203",2020-03-28,27874
"202",2020-03-29,31461
"201",2020-03-30,34689
"200",2020-03-31,38675
"199",2020-04-01,43349
"198",2020-04-02,48359
"197",2020-04-03,53368
"196",2020-04-04,60144
"195",2020-04-05,66452
"194",2020-04-06,71208
"193",2020-04-07,76548
"192",2020-04-08,84130
"191",2020-04-09,90669
"190",2020-04-10,98122
"189",2020-04-11,105134
"188",2020-04-12,111186
"187",2020-04-13,116526
"186",2020-04-14,121929
"185",2020-04-15,129540
"184",2020-04-16,140008
"183",2020-04-17,148539
"182",2020-04-18,157030
"181",2020-04-19,163400
"180",2020-04-20,168387
"179",2020-04-21,173839
"178",2020-04-22,181105
"177",2020-04-23,187025
"176",2020-04-24,194351
"175",2020-04-25,199707
"174",2020-04-26,205883
"173",2020-04-27,209795
"172",2020-04-28,214694
"171",2020-04-29,221251
"170",2020-04-30,227813
"169",2020-05-01,233468
"168",2020-05-02,239045
"167",2020-05-03,243858
"166",2020-05-04,247562
"165",2020-05-05,251539
"164",2020-05-06,257508
"163",2020-05-07,263631
"162",2020-05-08,269266
"161",2020-05-09,274398
"160",2020-05-10,278796
"159",2020-05-11,282218
"158",2020-05-12,285816
"157",2020-05-13,291577
"156",2020-05-14,296606
"155",2020-05-15,301866
"154",2020-05-16,306913
"153",2020-05-17,311148
"152",2020-05-18,314042
"151",2020-05-19,317334
"150",2020-05-20,322536
"149",2020-05-21,327244
"148",2020-05-22,332632
"147",2020-05-23,337277
"146",2020-05-24,341194
"145",2020-05-25,342311
"144",2020-05-26,345682
"143",2020-05-27,349567
"142",2020-05-28,354699
"141",2020-05-29,359339
"140",2020-05-30,363992
"139",2020-05-31,368006
"138",2020-06-01,370913
"137",2020-06-02,374065
"136",2020-06-03,378612
"135",2020-06-04,384137
"134",2020-06-05,389252
"133",2020-06-06,393897
"132",2020-06-07,397692
"131",2020-06-08,401200
"130",2020-06-09,404409
"129",2020-06-10,409267
"128",2020-06-11,414391
"127",2020-06-12,419091
"126",2020-06-13,423745
"125",2020-06-14,427881
"124",2020-06-15,431044
"123",2020-06-16,434418
"122",2020-06-17,441140
"121",2020-06-18,446235
"120",2020-06-19,452514
"119",2020-06-20,457545
"118",2020-06-21,461662
"117",2020-06-22,465636
"116",2020-06-23,469033
"115",2020-06-24,474378
"114",2020-06-25,479596
"113",2020-06-26,486172
"112",2020-06-27,490745
"111",2020-06-28,495333
"110",2020-06-29,498394
"109",2020-06-30,502105
"108",2020-07-01,507724
"107",2020-07-02,512569
"106",2020-07-03,517647
"105",2020-07-04,522666
"104",2020-07-05,526998
"103",2020-07-06,530382
"102",2020-07-07,534217
"101",2020-07-08,540216
"100",2020-07-09,545494
"99",2020-07-10,550873
"98",2020-07-11,556151
"97",2020-07-12,560948
"96",2020-07-13,564839
"95",2020-07-14,568675
"94",2020-07-15,574259
"93",2020-07-16,579762
"92",2020-07-17,585506
"91",2020-07-18,592738
"90",2020-07-19,597712
"89",2020-07-20,601651
"88",2020-07-21,605745
"87",2020-07-22,611868
"86",2020-07-23,618746
"85",2020-07-24,628526
"84",2020-07-25,634784
"83",2020-07-26,640519
"82",2020-07-27,644481
"81",2020-07-28,649133
"80",2020-07-29,655295
"79",2020-07-30,661941
"78",2020-07-31,668326
"77",2020-08-01,674446
"76",2020-08-02,680205
"75",2020-08-03,684438
"74",2020-08-04,688663
"73",2020-08-05,695395
"72",2020-08-06,702494
"71",2020-08-07,709388
"70",2020-08-08,715857
"69",2020-08-09,721493
"68",2020-08-10,726314
"67",2020-08-11,731133
"66",2020-08-12,737268
"65",2020-08-13,744169
"64",2020-08-14,754076
"63",2020-08-15,760321
"62",2020-08-16,765979
"61",2020-08-17,770213
