"","Price.1994","Price.1995","Price.1996","Price.1998","Price.1999","Price.2000","Price.2001","Price.2002","Price.2003","Price.2004","Price.2005","Price.2006","Price.2007","Price.2008","Price.2009","Price.2010","Price.2011","Price.2012","Price.2013","Price.2014","Price.2015","Price.2016","Price.2017","Price.2018","Price.2019"
"1",0.992,1.063,1.086,1.089,0.913,1.26,1.4,1.109,1.412,1.492,1.745,2.236,2.258,3.088,1.672,2.627,3.034,3.254,3.233,3.261,2.136,1.922,2.319,2.429,2.128
"2",0.995,1.07,1.092,1.083,0.92,1.252,1.458,1.099,1.423,1.544,1.771,2.321,2.173,3.041,1.772,2.717,3.052,3.333,3.236,3.267,2.066,1.888,2.328,2.473,2.143
"3",1.001,1.062,1.084,1.072,0.921,1.268,1.456,1.087,1.422,1.579,1.802,2.297,2.107,2.991,1.832,2.703,3.068,3.342,3.254,3.24,1.999,1.81,2.298,2.482,2.147
"4",0.999,1.068,1.079,1.055,0.913,1.307,1.446,1.081,1.437,1.604,1.839,2.314,2.119,2.953,1.813,2.666,3.074,3.333,3.296,3.241,1.982,1.752,2.258,2.516,2.162
"5",1.005,1.068,1.076,1.051,0.908,1.307,1.426,1.098,1.499,1.591,1.896,2.332,2.151,2.966,1.871,2.618,3.061,3.386,3.471,3.243,2.013,1.729,2.224,2.544,2.162
"6",1.007,1.062,1.073,1.045,0.907,1.319,1.46,1.085,1.582,1.609,1.89,2.31,2.198,2.947,1.897,2.611,3.094,3.436,3.537,3.257,2.133,1.663,2.221,2.511,2.187
"7",1.016,1.058,1.078,1.032,0.899,1.35,1.429,1.089,1.63,1.617,1.873,2.246,2.251,3.035,1.931,2.563,3.095,3.466,3.69,3.326,2.206,1.638,2.228,2.455,2.23
"8",1.009,1.052,1.099,1.038,0.885,1.4,1.41,1.087,1.617,1.641,1.878,2.205,2.338,3.115,1.868,2.621,3.141,3.523,3.722,3.394,2.256,1.661,2.224,2.442,2.311
"9",1.004,1.06,1.115,1.025,0.891,1.413,1.393,1.118,1.641,1.664,1.904,2.236,2.46,3.137,1.91,2.671,3.341,3.641,3.698,3.421,2.36,1.715,2.233,2.462,2.352
"10",1.007,1.063,1.116,1.017,0.9,1.49,1.387,1.194,1.663,1.69,1.979,2.321,2.499,3.2,1.918,2.721,3.473,3.717,3.644,3.452,2.367,1.782,2.264,2.455,2.399
