"","Day","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","001",831365.98,863809.42,1155839.78,1047536.39,803215.24,666300.84,1071124.88,930307.47,1310904.38,1105854.43,1181296.77,1153386.94,999512.92,1082670.58
"2","002",831365.98,866325.59,1155839.78,1032620.25,866632.6,666581.68,1076892.1,946091.75,1348866.87,1138364.84,1244897.89,1154393.56,1004487.04,1081796.35
"3","003",855907.47,909957.93,1205171.19,1038123.44,871353.72,679678.45,1120921.13,947123.78,1330904.09,1125881.44,1265837.06,1153849.46,1060135.22,1101796.79
"4","004",980253.85,911281.01,1221018.3,1035523.25,871878.99,693281.96,1119100.65,951513.51,1320121.9,1129503,1320324.87,1168381.17,1075723.85,1135469.11
"5","005",970631.09,911281.01,1255427.04,998038.56,881808.62,678144.52,1128819.83,977017.86,1334880.49,1141485.07,1327474.99,1193626.61,1078052.99,1153000.52
"6","006",992651.97,904988.86,1255427.04,943194.48,884654.73,670335.09,1116208.14,1025010.58,1371905.3,1148034.92,1319634.53,1206926.44,1050014.01,1170605.57
"7","007",1000360.27,923377.92,1264856.71,943194.48,883507.31,669336.16,1133201.23,1054114.36,1351528.68,1232275.6,1294825.79,1206003.33,1029299.94,1172189.3
"8","008",1005790.38,928990.09,1264856.71,959496.36,871552.56,667716.38,1139055.29,1069093.09,1312142.87,1327348.08,1299836.68,1199199.5,1044045.41,1109998.08
"9","009",1005790.38,930894.21,1279915.33,960730.77,877472.7,678179.82,1145813.26,1076707.85,1382147.17,1327157.7,1298564.7,1246621.22,1076673.33,1130856.87
"10","010",1016857.87,934563.58,1270088.39,967273.25,NA,675060.23,1151734.36,1085300.89,1406019.7,1330519.25,1284136.28,1246621.22,1077784.9,1166407.69
"11","011",1013091.28,943245.75,1267297.63,984446.86,915658.74,673649.36,1174609.71,1121193.69,1418597.63,1357969.57,1284136.28,1270298.15,1084651.98,1156012.07
"12","012",1013091.28,968421.4,1261873.6,1087495.71,944887.41,693713.48,1190007.87,1122100.39,1406013.12,1367325.63,1301066.07,1313164.92,1085013.34,1162687.16
"13","013",1019119.02,979436.25,1246933.27,1134895.05,961922.33,692812.68,1222539.63,1150571.13,1380212.04,1384013.41,1311116.59,1281353.24,1129818.26,1153532.57
"14","014",1019119.02,1039717.05,1246518.81,1198573.96,958018.11,705067.95,1222273.97,1174867.87,1356432.57,1384013.41,1335343.12,1284692.67,1173038.95,1163769.25
"15","015",1001871.73,1042891.41,1237071.06,1213650.4,967136.98,726363.38,1264014.02,1167007.19,1396715.01,1423111.05,1310606.49,1284240.65,1181843.34,1176498.08
"16","016",1001871.73,1060934.46,1266932.78,1220782.04,972597.85,744864.18,1312417.03,1160014.7,1398855.85,1423154.88,1317866.28,1309577.03,1189616.04,1212936.58
"17","017",1001871.73,1095935.94,NA,1176781.98,977543.11,761503.22,1336572.27,1144202.52,1398855.85,1476061.15,1315862.02,1315549.11,1252590.02,1233184.36
"18","018",1035804.97,1127193.79,1327432.38,1174248.64,990839.89,757041.43,1338105.99,1187091.16,1406641.45,1505436.52,1305320.98,1311936.31,1319171.77,1270120.43
"19","019",1055541.81,1171206.94,1349766.98,1227900.43,1007649.8,762643.46,1320034.26,1198510.96,1421468.73,1473160.57,1305957.08,1324309.48,1355008.69,1279529.24
"20","020",1055541.81,1171206.94,1372621.87,1267670.2,1044540.44,766258.28,1320179.08,1227055.56,1390389.97,1473160.57,1287439.06,1347972.11,1371541.78,1279704.86
"21","021",1081367.95,1172805.42,1306143.3,1267670.2,1037510.87,783147.99,1331840.98,1206105.24,1401331.92,1474320.32,1328035.43,1355888.27,1327801.39,1311950.29
"22","022",1068218.88,1148450.08,1438571.33,1351732.35,1035487.3,820845.77,1373071.13,1228816.97,1447394.74,1496515.87,1330474.6,1355888.27,1330666.27,1311302.27
"23","023",1076608.45,1120934.81,1444984.2,1362014,1075481.13,827892.67,1368081.28,1238693.99,1456479.5,1461218.92,1338393.25,1327110.5,1331414.52,1312060.92
"24","024",1087283.24,1143243.81,1543596.49,1376598.14,1110823.54,NA,1366505.64,1258430.1,1445979.15,1474206.46,1320429.05,1328098.51,1311184.93,1347628.9
"25","025",1087283.24,1153494.82,1603760.93,1388072.33,1108086.42,786905.41,1368697.83,1230770.64,1512576.89,1463103.88,1325998.52,1328098.51,1325645.31,1339934.25
"26","026",1087683.71,1165410.61,1652498.14,1429464.8,1118965.16,828107.2,1404378.32,1276878.7,1588509.08,1463103.88,1325998.52,1333506.01,1342906.34,1297798.65
"27","027",1087683.71,1178262.41,1703030.89,1419118.18,1085481.55,831166.18,1412805.98,1295714.99,1540864.61,1457944.63,1342778.31,1321924.84,1338959.43,1331789.29
"28","028",1177915.69,1185135.65,1744217.94,1419118.18,1080833.32,807990.12,1377203.1,1349086.71,1560468.07,1444322.19,1375337.65,1330741.27,1357109.24,1355416.73
"29","029",1178077.49,1205685.84,1786776.43,1420369.68,1085814.31,840722.72,1362335.34,1367480.32,1484570.29,1497736.65,1403700.1,1287030.3,1376143.85,1390962.94
"30","030",1159250.94,1173038.63,1786776.43,1428939.83,1067741.9,919218.52,1370424.06,1358578.74,1508669.84,1438168.74,1410515.19,1283362.83,1384973.48,1383641.66
