"","Day","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","001",11408.53,15.8,9971.67,31090.89,52031.92,154348.46,6854.4,67710.67,8107.37,7527.11,2849.93,14808.35,14365.76,16502.71
"2","002",11408.53,15.8,9971.67,31090.89,55534.91,152817,6703.71,67530.96,8107.37,7527.11,2849.93,14808.35,13932.13,16502.71
"3","003",11408.53,15.8,9971.67,31090.89,71879.26,153803.69,6703.71,68209.02,8107.37,9613.11,2849.93,14808.35,13932.13,17226.1
"4","004",11408.53,15.8,9971.67,31090.89,71879.26,163757.34,6938.19,61526.7,8107.37,6741.2,7111.51,14808.35,13932.13,19456.95
"5","005",21311.46,15.8,16743.76,39989.46,73400.41,166874.24,6938.19,61846.27,11465.79,6741.2,7111.51,15530.73,16339.67,19927.39
"6","006",21327.46,15.8,17454.7,42603.42,77026.46,171491.96,7021.75,67036.01,12298.15,7746.61,15111.38,15796.37,16339.67,19927.39
"7","007",21327.46,15.8,17454.7,42603.42,90050.73,155867.4,7021.75,61962.37,12298.15,9589.34,25414.87,22885.16,16339.67,22923.9
"8","008",21327.46,3303.28,17454.7,42603.42,99405.53,157431.75,7021.75,70866.79,12660.46,9589.34,40207.87,22885.16,18026.1,20343.4
"9","009",21478.25,3303.28,17454.7,42603.42,98284.58,150687.62,9466.9,66174.58,12660.46,9589.34,43210.59,31249.2,18062.06,20343.4
"10","010",21493.81,3303.28,17454.7,42603.42,NA,127883.48,9466.9,63201.3,12660.46,9589.34,43210.59,31249.2,18062.06,22213.38
"11","011",21493.81,3303.28,18694.13,41376.02,121627.81,123854.75,9466.9,66174.58,12660.46,9589.34,43210.59,30731.27,22839.72,19330.87
"12","012",21493.81,3303.28,18694.13,41376.02,131367.63,122625.16,9466.9,65676.72,12660.46,9589.34,54924.57,29010.07,24486.33,16586.48
"13","013",21493.81,3303.28,18694.13,38905.83,126546.04,124191.47,9466.9,67931.54,12660.46,9589.34,54924.57,29010.07,24486.33,19876.68
"14","014",21343.02,5462.61,18694.13,38905.83,135625.98,124219.23,11892.65,83814.88,12741.48,9589.34,54924.57,29954.39,24486.33,20433.87
"15","015",21343.02,5462.61,18694.13,42190.37,149893.59,138133.68,11892.65,91046.43,14012.28,9589.34,54924.57,29954.39,18186.44,31087.74
"16","016",21343.02,5462.61,18694.13,42190.37,151885.2,171848.62,14628.59,91046.43,14012.28,9589.34,58139.71,37987.82,14268.22,32810.99
"17","017",21343.02,5462.61,NA,51565.72,151885.2,171112,18891.05,91046.43,14012.28,9589.34,59366.45,43193.69,14886.16,32810.99
"18","018",21343.02,7146.31,18694.13,50246.01,150804.64,156479.59,18922.1,91283.56,14012.28,17118.8,59366.45,43193.69,20265.01,40515.07
"19","019",21343.02,7146.31,18694.13,50246.01,136182.46,147138.55,15437.25,91283.56,18230.85,20960.6,64435.43,43193.69,24115.31,44344.06
"20","020",21343.02,7146.31,18694.13,50246.01,137506.69,144898.09,15437.25,91283.56,33791.05,20960.6,75520.58,43193.69,29396.62,48308.57
"21","021",36921.08,10724.5,13501.58,50246.01,130421.69,148438.22,16008.12,123387.39,33791.05,20960.6,73171.1,40310.95,41664.71,47074.82
