"","Day","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","001",432629.77,340348.66,365478.29,481011.03,550003.94,653408.27,420698.4,393058.32,517960.4,653947.54,356415.06,199975.55,339615.81,288102.04
"2","002",432629.77,339746.65,388567.68,481861.33,560228.45,643699.32,410567.25,400293.89,578331.36,668910.19,384514.62,196695.13,339437.23,315479.41
"3","003",432629.77,367071.57,381374.54,492349.84,585853.75,643874.49,396843.81,376825.82,535732.6,622139.17,388261.1,234738.8,330445.59,332703.49
"4","004",458823.88,367071.57,357043.29,504374.71,577485.01,671587.26,364445.29,332752.15,530172.12,629026.87,387680.89,268211.2,337487.97,394147.57
"5","005",474574.82,367071.57,352344.47,526458.35,631983.08,679743.3,340415.41,346932.62,515867.28,540677.72,428712.96,269367.95,352115.3,376421.78
"6","006",474574.82,385118.59,352727.11,539434.12,652797.73,689780.7,357080.78,408118.48,528901.47,644452.93,424770.49,296577.07,356491.67,379917.97
"7","007",474574.82,359622.95,354493.48,583882.81,694999.24,681969.26,376501.03,400470.35,518873.51,604479.58,425297.57,290251.97,359415.23,379057.29
"8","008",474574.82,374721.74,354493.48,588413.74,695474.81,683828.46,383586.96,400470.35,546400.2,596295.3,400293.43,306884.11,343579.74,366471.08
"9","009",474574.82,375807.3,348168.36,590881.53,647091.35,680742.23,415666.94,363555.94,549857.08,610653.92,412279.06,307440.8,334495.63,397616.91
"10","010",448185.27,363027.29,328029.83,591015.6,NA,686604.17,430225.82,355992.81,605823.95,574969.82,412279.06,299434.5,349825.55,423489.77
"11","011",448185.27,355323.83,341314.6,553068.15,625792.87,695963.53,451587.77,403240.27,606543.1,557131.72,412279.06,285712.83,371630.45,364744.61
"12","012",448185.27,328738.71,355648.15,536826.19,631675.65,696127.46,455218.88,399972.59,604835.56,672995.6,455486.57,289405.54,377808.07,367995.59
"13","013",448185.27,328738.71,370546.71,542328.61,644892.45,727420.64,439039.62,393306.79,595310.07,745899,472908.8,289405.54,389279.76,366661.1
"14","014",362768.82,342268.86,429918.86,571600.29,636129.94,753105.01,446147.93,435690.31,602916.75,745899,543040.75,334131.18,393026.06,373198.41
"15","015",331107.77,342268.86,446652.08,615813.53,633071.87,780296.3,472132.68,442309.43,622843.39,745899,561522.19,334131.18,329630.9,403489.13
"16","016",331107.77,342268.86,435987.47,629438.8,631615.43,786791.38,448414.82,488251.63,629976.35,745899,559574.91,314960.51,319306.14,373949.65
"17","017",331107.77,413832.92,NA,613719.47,623882.85,756164.13,382366.92,495004.92,629976.35,752738.02,565700.73,304628.25,312501.95,447824.69
"18","018",340934.92,429710.83,374303,609457.71,584696.99,720031.95,364244.08,506844.84,623919.33,766827.06,558373.73,251961.26,294709.01,478477.92
"19","019",340934.92,429710.83,374303,614878.48,573892.29,675241.01,360991.61,506844.84,617870,763822.68,558373.73,311938.73,286684.27,463997.13
"20","020",340934.92,429710.83,377050.64,605026.06,570125.84,646913.88,347429.38,507581.51,631016.94,774421.39,566111.56,350555.5,300135.08,479277.92
"21","021",353927.55,470782.33,407011.2,605026.06,547160.61,642261.87,372530.56,536565.44,642215.75,794291.53,591293.47,331028.85,311019.87,486608.9
"22","022",366647.59,509036.05,428587.89,600159.7,561957.95,634837.02,441998.23,529193.87,651977.37,783085.55,591207.03,329602.31,322464.56,536069.82
"23","023",371538.48,517968.71,425192.96,597052.82,576545.92,608634.04,484772.99,518893.32,651826.12,753265.92,591207.03,374648.5,316984.86,556244.93
"24","024",310538.84,538443.19,439267.61,593619.35,582086.46,NA,485776.27,518893.32,635137.24,724113.49,591207.03,403317.22,328081.13,520334.32
"25","025",310538.84,562132.95,447379.24,604822.24,573563.84,611798.05,493958.17,533865.22,625742.3,682479.03,572892.92,390190.03,380215.11,556024.68
