"","Day","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","001",639590.07,512000.07,419499.61,571150.25,491796.21,513255.67,681509.02,704884.93,412884.09,246648.48,380295.02,228020.49,193751.27,463277.9
"2","002",639590.07,512000.07,437988.62,572002.7,493722.58,528856,689469.91,683267.25,444477.71,229669.41,484279.59,211809.62,194237.38,475658.59
"3","003",666030.4,587187.78,461614.49,587363.47,508176.75,516952.81,699952.62,694587.16,460266.49,244790.77,484279.59,215543.28,193417.31,475405.16
"4","004",683780.08,587187.78,479775.92,599810.47,505093.83,538938.87,728268.17,684316.45,456334.19,235764.69,493810.69,172879.61,210162.41,483904.6
"5","005",683795.38,587187.78,489039.64,627160.87,537647.55,512999.63,754578.03,734099.83,457513.29,236152.64,508325.18,158072.01,215526.68,475383.02
"6","006",685430.49,620039.77,496341.4,660534.83,541568.36,549156.87,787679.01,712154.92,492646.93,226085.8,491413.15,161458.21,205836.14,477972.78
"7","007",690278.54,635984.34,496341.4,695001.75,570585.72,556727.22,786365.07,695957.97,473892.52,186937.38,499791.91,169669.76,205388.66,461990.48
"8","008",692832.54,645184.28,545542.71,707042.21,579627.56,547857.02,791767.54,702940.45,467233.16,232818.85,501966.26,165701.82,212150.44,438322.22
"9","009",692832.54,642662.26,584472.95,714819.74,580052.84,542964.17,802711.92,690301.32,471751.58,245343.19,416174.67,176470.39,200237.86,428695.01
"10","010",705348.17,606863.45,621995.72,746358.52,NA,472740.14,806439.35,668624.5,488200.5,245343.19,399023.87,197583.91,187854.28,433989.22
"11","011",696719.33,586148.71,643713.36,756481.27,598190.62,450210.7,803083.68,690301.32,489075.55,247232.6,391352.98,193120.15,182183.26,440533.53
"12","012",696719.33,542715.73,652468.53,784200.27,614598.68,464570.58,816527.3,612984.61,493652.73,262479.09,391352.98,207086.37,223311.05,468979.23
"13","013",701161.76,542715.73,652468.53,776759.51,620670.62,477274.52,832111.36,622668.08,507589.55,263924.21,400045.24,211007.52,223311.05,490241.11
"14","014",716981.95,540333.54,676101.65,792751.32,628753.04,519129.6,807450.93,661950.69,531976.12,263924.21,400045.24,231548.89,241830.25,490062.08
"15","015",734972.09,538417.12,668705.95,825043.95,632811.14,536688.47,737127.12,660152.79,557220.62,292694.49,445331.07,253647.5,256466.54,516527.15
"16","016",734972.09,538417.12,654249.2,825043.95,639236.9,553698,723068.33,660152.79,560243,303757.45,440891.63,327194.42,272841.98,514375.4
"17","017",734972.09,559958.85,NA,822320.73,644527.75,572371.09,720841.28,669604.77,566666.82,314093.11,440891.63,371531.12,277006.51,502612.86
"18","018",768298.66,591072.63,655147.76,783701.33,684800.22,586242,723403.29,688571.21,598744.06,355546.06,449049.73,399149.71,284991.73,526656.79
"19","019",758139.56,599477.56,655916.18,797141.6,707074.12,578559.58,717814.41,680968.44,604227.9,348649.06,458634.95,419415.93,309601.19,536693.43
