"","Day","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","001",550158.41,545210.13,645387.82,606740.99,573426.57,622909.03,610572.68,606720.08,561111.38,636556.96,557953.54,464142,559302.43,526138.74
"2","002",550158.41,520218.5,595517.89,624818.86,622894.72,623571.49,589088.71,608456.53,585294.01,626474.18,585920.6,479161.36,565035.91,545924.84
"3","003",595342.42,531938.23,617603.63,631745.39,643502.62,634745,548620.86,603472.6,586734.29,589105.72,560955.78,483057.76,564614.34,555130.44
"4","004",605747.86,531938.23,629147.85,633807.22,624585.29,653614.9,540651.5,604871.03,595604.03,612782.22,576571.07,535056.68,548258.7,560519.92
"5","005",600826.71,531938.23,616203.99,628979.6,628160.35,622176.42,527420.7,640546.46,603907.19,626868.44,626840.1,517263.28,553512.32,558801.59
"6","006",595938.39,547597.74,616203.99,616569.81,633723.16,627386.11,531470.21,651341.92,592984.03,640415.59,627515.15,512910.72,546661.62,557602.22
"7","007",588978,535013.05,615988.73,673400.76,676834.85,621940.47,533713.2,663594.35,602592.49,585014.63,620765.22,518988.07,557519.07,584288.85
"8","008",590029.18,536825.06,615988.73,670959.05,673951.59,624109.06,565462.76,691397.15,609828.88,545680.04,622238.03,518371.62,551914.66,584611.66
"9","009",590029.18,544885.41,572615.06,669043.23,674622.96,636110.54,545489.46,642949.96,586695.62,569149.3,590394.51,511182.96,521541.25,586920
"10","010",588279.64,576959.05,557873.65,654446.49,NA,627287.74,521176.75,661023.73,566983.25,571761.33,590394.51,497572.99,496800.6,585235.84
"11","011",588279.64,596257.48,562444.44,637623.77,666899.52,626355.65,501814.87,639651.89,569442.54,562748.05,590394.51,492550.29,500516.82,585101.17
"12","012",588279.64,587863.54,572212.16,620589.18,666995.57,620998.53,512286.89,660562.45,564821.1,589627.66,598082.89,523152.11,498339.75,563251.48
"13","013",588279.64,590249.63,609274.16,639873.56,678127.58,602791.37,575831.61,685691.23,575175.98,607124.52,588317.82,523152.11,507739.98,552915.06
"14","014",588279.64,588226.05,635344.86,700869.57,676822.19,598837.54,590982.38,697323.54,592284.96,607124.52,633670.01,544014.91,521896.29,550066.38
"15","015",531437.67,594169.89,639064.64,694456.28,674450.93,629561.15,591463.46,684204.63,611342.16,584325.44,630593.8,544014.91,492704.29,556907.12
"16","016",531437.67,594169.89,639398.18,714898.96,647195.95,643271.4,593964.92,696135.4,611286.06,589481.41,641321.44,540094.82,482044.06,531184.8
"17","017",531437.67,568759.9,NA,678444.26,638001.16,629212.44,602259.71,659830.98,611286.06,633428.83,645278.32,555971.47,461684.44,553069.14
"18","018",570698.6,569447.39,657807.16,672286.71,628069.44,609566.76,592001.21,652923.61,608969.22,657118.71,613662.75,568360.46,459738.41,574592.16
"19","019",576231,559860.5,661054.19,637163.61,601022.7,596628.08,587625.52,697400.01,613690.7,603609.93,613662.75,611049.66,453111.72,569153.43
"20","020",576231,559860.5,671105.61,635898.17,634285.38,610025.16,589860.48,694706.36,589604.21,606639.29,636298.31,617074.44,450345.03,564077.33
"21","021",576231,587237.13,653602.69,635898.17,628761.36,602339.92,594535.51,615836.61,586271.64,564326.63,644516.98,639023.44,453958.08,574016.26
"22","022",576231,621462.7,653617.12,548752.42,612191.99,628977.96,566033.99,614222.74,601774.02,626509.41,634987.66,657144.02,465828.06,547142.68
"23","023",568271.59,621523.92,687174.5,550021.55,586413.17,633809.6,562145.19,615521.13,606406.88,627832.72,634987.66,641673.81,467324.97,528491.46
"24","024",516604.96,636629.54,632786.67,554110.06,578934.59,NA,545424.53,615521.13,601187.19,615201.65,634987.66,641673.81,474168.15,537683.12
"25","025",516604.96,667062.53,626561.25,567411.89,545015.87,619302.85,520477.83,637266.35,583691.3,573301.41,628166.16,646403.61,479162.58,513667.2
"26","026",514607.17,709276.21,627959.47,562624.44,552566.35,629813.71,544268.75,639324.2,553722.63,569704.08,632316.87,648876.77,491015.57,522877.99
"27","027",514607.17,709276.21,631450.85,532975.15,591920.68,639475.49,544839.01,630274.04,536083.05,589372.75,625520.9,625168.08,496168.87,553480.35
"28","028",531055.04,740587.26,639958.91,528021.97,608593.01,649622.99,537095.06,644971.51,536083.05,518498.28,614600.81,544023.25,502181.54,559919.19
"29","029",531055.04,740587.26,643329.67,523128.8,583044.93,681896.56,549972.2,645150.41,507033.9,525930.63,619168.44,554191.17,513270.92,526591.3
"30","030",558938.58,712310.11,643329.67,514125.77,584328.24,731833.08,550210.61,631585.83,569652.86,528127.64,604412.65,544904.12,506538.52,531551.49
