"","Day","2019","2018","2017","2016","2015","2014"
"104",2,19.5878,19.4899,20.7323,NA,14.829,13.1011
"103",3,19.6073,19.3717,20.852,NA,NA,13.0911
"102",4,19.4902,19.2427,21.3799,17.3529,NA,NA
"352",5,NA,19.2737,21.3661,17.3456,14.9469,NA
"602",6,NA,NA,21.3144,17.4411,14.8479,13.0905
"101",7,19.3208,NA,NA,17.6568,14.7936,13.0337
"100",8,19.3479,19.2323,NA,17.9283,14.6274,13.0846
"99",9,19.2456,19.3065,21.3219,NA,14.5804,13.1403
"98",10,19.1714,19.2405,21.6168,NA,NA,13.0065
"97",11,19.1236,19.3433,21.9076,17.9304,NA,NA
"347",12,NA,19.0446,21.7204,17.9119,14.6398,NA
"597",13,NA,NA,21.633,17.85,14.5559,12.9889
"96",14,19.0064,NA,NA,17.9121,14.5644,13.0956
"95",15,19.0457,18.8113,NA,18.2108,14.5821,13.1689
"94",16,18.9908,18.8362,21.6643,NA,14.6223,13.2907
"93",17,19.063,18.655,21.5738,NA,NA,13.2737
"92",18,19.0844,18.6361,21.8514,18.2327,NA,NA
"342",19,NA,18.5813,21.9044,18.1947,14.6524,NA
"592",20,NA,NA,21.7002,18.608,14.6484,13.242
"91",21,19.1902,NA,NA,18.5084,14.6983,13.2984
"90",22,19.1297,18.7118,NA,18.428,14.612,13.3194
"89",23,19.0771,18.798,21.4512,NA,14.6499,13.3722
"88",24,18.9859,18.5178,21.3692,NA,NA,13.493
"87",25,18.928,18.478,21.3439,18.5352,NA,NA
"337",26,NA,18.4672,21.2024,18.4715,14.5887,NA
"587",27,NA,NA,21.0212,18.453,14.5872,13.4408
"86",28,19.0381,NA,NA,18.2906,14.6878,13.3104
"85",29,18.9972,18.6196,NA,18.1935,14.8414,13.3671
"84",30,19.1623,18.6982,20.7588,NA,14.9885,13.3207
"83",31,19.0388,18.6069,20.7908,NA,NA,13.3769
"82",32,19.1098,18.4004,20.7752,NA,NA,NA
"332",33,NA,18.5248,20.5757,18.4902,NA,NA
"582",34,NA,NA,20.3439,18.4537,14.7566,NA
"836",35,NA,NA,NA,18.1891,14.8011,13.3928
"81",36,19.0824,NA,NA,18.3748,14.7548,13.3705
"80",37,19.1058,18.7009,NA,NA,14.9024,13.2211
"79",38,19.08,18.6492,20.637,NA,NA,13.3285
"78",39,19.0893,18.8815,20.4994,18.6959,NA,NA
"328",40,NA,18.8623,20.4163,18.7818,14.8014,NA
"578",41,NA,NA,20.3535,18.8089,14.9309,13.3134
"77",42,19.2524,NA,NA,19.1754,15.1099,13.2916
"76",43,19.2592,18.6703,NA,19.0392,14.9167,13.3056
"75",44,19.4084,18.6269,20.328,NA,14.8605,13.332
"74",45,19.3569,18.6025,20.3507,NA,NA,13.2477
"73",46,19.3625,18.5159,20.3254,18.8471,NA,NA
"323",47,NA,18.4797,20.3325,18.8148,14.8979,NA
"573",48,NA,NA,20.4526,18.3895,14.8971,13.1949
"72",49,19.2578,NA,NA,18.1439,14.9473,13.2261
"71",50,19.1778,18.536,NA,18.2762,14.9583,13.2714
"70",51,19.1835,18.6594,20.4059,NA,15.0757,13.2913
