"","Day","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"470",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.436,NA
"157",2,NA,NA,NA,3.254,NA,NA,NA,NA,2.319,NA,NA
"105",3,NA,NA,3.034,NA,NA,NA,NA,NA,NA,NA,NA
"53",4,NA,2.627,NA,NA,NA,NA,NA,1.922,NA,NA,NA
"1",5,1.672,NA,NA,NA,NA,NA,2.136,NA,NA,NA,NA
"262",6,NA,NA,NA,NA,NA,3.261,NA,NA,NA,NA,NA
"210",7,NA,NA,NA,NA,3.233,NA,NA,NA,NA,NA,2.128
"471",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.429,NA
"158",9,NA,NA,NA,3.333,NA,NA,NA,NA,2.328,NA,NA
"106",10,NA,NA,3.052,NA,NA,NA,NA,NA,NA,NA,NA
"54",11,NA,2.717,NA,NA,NA,NA,NA,1.888,NA,NA,NA
"2",12,1.772,NA,NA,NA,NA,NA,2.066,NA,NA,NA,NA
"263",13,NA,NA,NA,NA,NA,3.267,NA,NA,NA,NA,NA
"211",14,NA,NA,NA,NA,3.236,NA,NA,NA,NA,NA,2.143
"472",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.473,NA
"159",16,NA,NA,NA,3.342,NA,NA,NA,NA,2.298,NA,NA
"107",17,NA,NA,3.068,NA,NA,NA,NA,NA,NA,NA,NA
"55",18,NA,2.703,NA,NA,NA,NA,NA,1.81,NA,NA,NA
"3",19,1.832,NA,NA,NA,NA,NA,1.999,NA,NA,NA,NA
"264",20,NA,NA,NA,NA,NA,3.24,NA,NA,NA,NA,NA
"212",21,NA,NA,NA,NA,3.254,NA,NA,NA,NA,NA,2.147
"473",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.482,NA
"160",23,NA,NA,NA,3.333,NA,NA,NA,NA,2.258,NA,NA
"108",24,NA,NA,3.074,NA,NA,NA,NA,NA,NA,NA,NA
"56",25,NA,2.666,NA,NA,NA,NA,NA,1.752,NA,NA,NA
"4",26,1.813,NA,NA,NA,NA,NA,1.982,NA,NA,NA,NA
"265",27,NA,NA,NA,NA,NA,3.241,NA,NA,NA,NA,NA
"213",28,NA,NA,NA,NA,3.296,NA,NA,NA,NA,NA,2.162
"474",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.516,NA
"161",30,NA,NA,NA,3.386,NA,NA,NA,NA,2.224,NA,NA
"109",31,NA,NA,3.061,NA,NA,NA,NA,NA,NA,NA,NA
"57",32,NA,2.618,NA,NA,NA,NA,NA,1.729,NA,NA,NA
"5",33,1.871,NA,NA,NA,NA,NA,2.013,NA,NA,NA,NA
"266",34,NA,NA,NA,NA,NA,3.243,NA,NA,NA,NA,NA
"214",35,NA,NA,NA,NA,3.471,NA,NA,NA,NA,NA,2.162
"475",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.544,NA
"162",37,NA,NA,NA,3.436,NA,NA,NA,NA,2.221,NA,NA
"110",38,NA,NA,3.094,NA,NA,NA,NA,NA,NA,NA,NA
"58",39,NA,2.611,NA,NA,NA,NA,NA,1.663,NA,NA,NA
"6",40,1.897,NA,NA,NA,NA,NA,2.133,NA,NA,NA,NA
"267",41,NA,NA,NA,NA,NA,3.257,NA,NA,NA,NA,NA
"215",42,NA,NA,NA,NA,3.537,NA,NA,NA,NA,NA,2.187
"476",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.511,NA
"163",44,NA,NA,NA,3.466,NA,NA,NA,NA,2.228,NA,NA
"111",45,NA,NA,3.095,NA,NA,NA,NA,NA,NA,NA,NA
